backend,cublas_backend,cublas_algo,op,m,k,n,route,config,chosen_ms,cublas_ms,custom_ms,speedup,weight
sgemm-bf16,lt,default_tensor,ffn_down,16,21504,5376,cublas,bf16_16x32,0.3414,0.3414,0.3885,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,64,21504,5376,cublas,bf16_64x64,0.3558,0.3558,0.7885,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,256,21504,5376,cublas,bf16_64x64,0.419,0.419,3.2034,1.0,60
sgemm-bf16,lt,default_tensor,ffn_gate_up,16,5376,43008,cublas,bf16_64x64,0.6677,0.6677,1.5666,1.0,60
sgemm-bf16,lt,default_tensor,ffn_gate_up,64,5376,43008,cublas,bf16_64x64,0.692,0.692,1.5693,1.0,60
sgemm-bf16,lt,default_tensor,ffn_gate_up,256,5376,43008,cublas,bf16_64x64,0.8383,0.8383,6.3421,1.0,60
sgemm-bf16,lt,default_tensor,final_logits,16,5376,262144,cublas,bf16_64x64,4.0286,4.0286,9.7673,1.0,1
sgemm-bf16,lt,default_tensor,final_logits,64,5376,262144,cublas,bf16_64x64,4.149,4.149,9.7813,1.0,1
sgemm-bf16,lt,default_tensor,final_logits,256,5376,262144,cublas,bf16_64x64,5.6402,5.6402,39.4961,1.0,1
sgemm-bf16,lt,default_tensor,global_k,16,5376,2048,cublas,bf16_16x32,0.0423,0.0423,0.0694,1.0,10
sgemm-bf16,lt,default_tensor,global_k,64,5376,2048,cublas,bf16_16x32,0.0438,0.0438,0.1019,1.0,10
sgemm-bf16,lt,default_tensor,global_k,256,5376,2048,cublas,bf16_16x32,0.0627,0.0627,0.3342,1.0,10
sgemm-bf16,lt,default_tensor,global_o,16,16384,5376,cublas,bf16_16x32,0.2575,0.2575,0.2918,1.0,10
sgemm-bf16,lt,default_tensor,global_o,64,16384,5376,cublas,bf16_64x64,0.2653,0.2653,0.6107,1.0,10
sgemm-bf16,lt,default_tensor,global_o,256,16384,5376,cublas,bf16_64x64,0.4474,0.4474,2.4545,1.0,10
sgemm-bf16,lt,default_tensor,global_q,16,5376,16384,cublas,bf16_16x32,0.269,0.269,0.3789,1.0,10
sgemm-bf16,lt,default_tensor,global_q,64,5376,16384,cublas,bf16_64x64,0.2785,0.2785,0.7801,1.0,10
sgemm-bf16,lt,default_tensor,global_q,256,5376,16384,cublas,bf16_64x64,0.406,0.406,2.5261,1.0,10
sgemm-bf16,lt,default_tensor,sliding_o,16,8192,5376,cublas,bf16_16x32,0.1347,0.1347,0.1615,1.0,50
sgemm-bf16,lt,default_tensor,sliding_o,64,8192,5376,cublas,bf16_64x64,0.1385,0.1385,0.3076,1.0,50
sgemm-bf16,lt,default_tensor,sliding_o,256,8192,5376,cublas,bf16_64x64,0.2229,0.2229,1.2296,1.0,50
sgemm-bf16,lt,default_tensor,sliding_qkv,16,5376,16384,cublas,bf16_16x32,0.2691,0.2691,0.3981,1.0,50
sgemm-bf16,lt,default_tensor,sliding_qkv,64,5376,16384,cublas,bf16_64x64,0.28,0.28,0.7812,1.0,50
sgemm-bf16,lt,default_tensor,sliding_qkv,256,5376,16384,cublas,bf16_64x64,0.4057,0.4057,2.5259,1.0,50
tuna,lt,default_tensor,ffn_down,16,21504,5376,cublas,wmma_16x32,0.3428,0.3428,0.3867,1.0,60
tuna,lt,default_tensor,ffn_down,64,21504,5376,cublas,wmma_64x64,0.3564,0.3564,0.793,1.0,60
tuna,lt,default_tensor,ffn_down,256,21504,5376,cublas,wmma_64x64,0.4187,0.4187,3.2019,1.0,60
tuna,lt,default_tensor,ffn_gate_up,16,5376,43008,cublas,wmma_64x64,0.6676,0.6676,1.5671,1.0,60
tuna,lt,default_tensor,ffn_gate_up,64,5376,43008,cublas,wmma_64x64,0.6906,0.6906,1.5648,1.0,60
tuna,lt,default_tensor,ffn_gate_up,256,5376,43008,cublas,wmma_64x64,0.8518,0.8518,6.358,1.0,60
tuna,lt,default_tensor,final_logits,16,5376,262144,cublas,wmma_64x64,4.0289,4.0289,9.7742,1.0,1
tuna,lt,default_tensor,final_logits,64,5376,262144,cublas,wmma_64x64,4.1485,4.1485,9.8502,1.0,1
tuna,lt,default_tensor,final_logits,256,5376,262144,cublas,wmma_64x64,5.8125,5.8125,39.9457,1.0,1
tuna,lt,default_tensor,global_k,16,5376,2048,cublas,wmma_16x32,0.0429,0.0429,0.0684,1.0,10
tuna,lt,default_tensor,global_k,64,5376,2048,cublas,wmma_16x32,0.0474,0.0474,0.1023,1.0,10
tuna,lt,default_tensor,global_k,256,5376,2048,cublas,wmma_16x32,0.063,0.063,0.3362,1.0,10
tuna,lt,default_tensor,global_o,16,16384,5376,cublas,wmma_16x32,0.2577,0.2577,0.289,1.0,10
tuna,lt,default_tensor,global_o,64,16384,5376,cublas,wmma_32x64,0.2633,0.2633,0.6093,1.0,10
tuna,lt,default_tensor,global_o,256,16384,5376,cublas,wmma_64x64,0.4344,0.4344,2.5024,1.0,10
tuna,lt,default_tensor,global_q,16,5376,16384,cublas,wmma_16x32,0.2695,0.2695,0.394,1.0,10
tuna,lt,default_tensor,global_q,64,5376,16384,cublas,wmma_64x64,0.2791,0.2791,0.7802,1.0,10
tuna,lt,default_tensor,global_q,256,5376,16384,cublas,wmma_64x64,0.4047,0.4047,2.5275,1.0,10
tuna,lt,default_tensor,sliding_o,16,8192,5376,cublas,wmma_16x32,0.1349,0.1349,0.1622,1.0,50
tuna,lt,default_tensor,sliding_o,64,8192,5376,cublas,wmma_64x64,0.1379,0.1379,0.3067,1.0,50
tuna,lt,default_tensor,sliding_o,256,8192,5376,cublas,wmma_64x64,0.2229,0.2229,1.2211,1.0,50
tuna,lt,default_tensor,sliding_qkv,16,5376,16384,cublas,wmma_16x32,0.2692,0.2692,0.3966,1.0,50
tuna,lt,default_tensor,sliding_qkv,64,5376,16384,cublas,wmma_64x64,0.2801,0.2801,0.7805,1.0,50
tuna,lt,default_tensor,sliding_qkv,256,5376,16384,cublas,wmma_64x64,0.4055,0.4055,2.5533,1.0,50
