backend,op,m,k,n,route,config,chosen_ms,cublas_ms,custom_ms,speedup,weight
sgemm-bf16,ffn_down,16,21504,5376,custom,bf16_16x32,0.3886,1.6618,0.3886,4.2763767370046315,60
sgemm-bf16,ffn_down,64,21504,5376,custom,bf16_64x64,0.7893,1.4624,0.7893,1.8527809451412642,60
sgemm-bf16,ffn_down,256,21504,5376,cublas,bf16_64x64,1.186,1.186,3.1807,1.0,60
sgemm-bf16,ffn_gate_up,16,5376,43008,cublas,bf16_64x64,0.6687,0.6687,1.5675,1.0,60
sgemm-bf16,ffn_gate_up,64,5376,43008,cublas,bf16_64x64,0.6922,0.6922,1.5679,1.0,60
sgemm-bf16,ffn_gate_up,256,5376,43008,cublas,bf16_64x64,0.8295,0.8295,6.5159,1.0,60
sgemm-bf16,final_logits,16,5376,262144,cublas,bf16_64x64,4.0324,4.0324,9.6211,1.0,1
sgemm-bf16,final_logits,64,5376,262144,cublas,bf16_64x64,4.1387,4.1387,9.5362,1.0,1
sgemm-bf16,final_logits,256,5376,262144,cublas,bf16_64x64,5.384,5.384,39.4366,1.0,1
sgemm-bf16,global_k,16,5376,2048,custom,bf16_16x32,0.0698,1.2991,0.0698,18.611747851002864,10
sgemm-bf16,global_k,64,5376,2048,custom,bf16_16x32,0.1031,1.436,0.1031,13.928225024248302,10
sgemm-bf16,global_k,256,5376,2048,cublas,bf16_16x32,0.0645,0.0645,0.3335,1.0,10
sgemm-bf16,global_o,16,16384,5376,cublas,bf16_16x32,0.2587,0.2587,0.293,1.0,10
sgemm-bf16,global_o,64,16384,5376,cublas,bf16_64x64,0.2637,0.2637,0.6108,1.0,10
sgemm-bf16,global_o,256,16384,5376,cublas,bf16_64x64,1.4467,1.4467,2.4585,1.0,10
sgemm-bf16,global_q,16,5376,16384,custom,bf16_16x32,0.407,2.6153,0.407,6.425798525798526,10
sgemm-bf16,global_q,64,5376,16384,cublas,bf16_64x64,0.2808,0.2808,0.7819,1.0,10
sgemm-bf16,global_q,256,5376,16384,cublas,bf16_64x64,0.4071,0.4071,2.5301,1.0,10
sgemm-bf16,sliding_o,16,8192,5376,cublas,bf16_16x32,0.1366,0.1366,0.1614,1.0,50
sgemm-bf16,sliding_o,64,8192,5376,cublas,bf16_32x64,0.1412,0.1412,0.3122,1.0,50
sgemm-bf16,sliding_o,256,8192,5376,custom,bf16_64x64,1.2378,1.3719,1.2378,1.1083373727581192,50
sgemm-bf16,sliding_qkv,16,5376,16384,custom,bf16_16x32,0.4017,1.6472,0.4017,4.100572566591984,50
sgemm-bf16,sliding_qkv,64,5376,16384,cublas,bf16_64x64,0.2846,0.2846,0.7842,1.0,50
sgemm-bf16,sliding_qkv,256,5376,16384,cublas,bf16_64x64,0.4077,0.4077,2.5287,1.0,50
tuna,ffn_down,16,21504,5376,custom,wmma_16x32,0.3854,3.2935,0.3854,8.545666839647119,60
tuna,ffn_down,64,21504,5376,custom,wmma_64x64,0.7966,3.3692,0.7966,4.229475269897063,60
tuna,ffn_down,256,21504,5376,custom,wmma_64x64,3.1952,3.3877,3.1952,1.060246619929895,60
tuna,ffn_gate_up,16,5376,43008,cublas,wmma_64x64,0.6697,0.6697,1.5705,1.0,60
tuna,ffn_gate_up,64,5376,43008,cublas,wmma_64x64,0.692,0.692,1.5663,1.0,60
tuna,ffn_gate_up,256,5376,43008,cublas,wmma_64x64,0.8476,0.8476,6.3244,1.0,60
tuna,final_logits,16,5376,262144,cublas,wmma_64x64,4.0309,4.0309,9.6453,1.0,1
tuna,final_logits,64,5376,262144,cublas,wmma_64x64,4.1442,4.1442,9.569,1.0,1
tuna,final_logits,256,5376,262144,cublas,wmma_64x64,5.1838,5.1838,39.2267,1.0,1
tuna,global_k,16,5376,2048,custom,wmma_16x32,0.0722,1.6709,0.0722,23.142659279778393,10
tuna,global_k,64,5376,2048,custom,wmma_16x32,0.1059,1.8757,0.1059,17.711992445703494,10
tuna,global_k,256,5376,2048,cublas,wmma_16x32,0.064,0.064,0.339,1.0,10
tuna,global_o,16,16384,5376,cublas,wmma_16x32,0.2595,0.2595,0.2931,1.0,10
tuna,global_o,64,16384,5376,cublas,wmma_64x64,0.2647,0.2647,0.6125,1.0,10
tuna,global_o,256,16384,5376,cublas,wmma_64x64,2.0251,2.0251,2.4638,1.0,10
tuna,global_q,16,5376,16384,custom,wmma_16x32,0.3944,2.3948,0.3944,6.072008113590265,10
tuna,global_q,64,5376,16384,cublas,wmma_64x64,0.2824,0.2824,0.7838,1.0,10
tuna,global_q,256,5376,16384,cublas,wmma_64x64,0.408,0.408,2.5262,1.0,10
tuna,sliding_o,16,8192,5376,cublas,wmma_16x32,0.1371,0.1371,0.1648,1.0,50
tuna,sliding_o,64,8192,5376,cublas,wmma_64x64,0.1389,0.1389,0.3087,1.0,50
tuna,sliding_o,256,8192,5376,custom,wmma_64x64,1.2286,2.7485,1.2286,2.2370991372293667,50
tuna,sliding_qkv,16,5376,16384,custom,wmma_16x32,0.3939,2.8562,0.3939,7.251078954049251,50
tuna,sliding_qkv,64,5376,16384,cublas,wmma_64x64,0.28,0.28,0.7821,1.0,50
tuna,sliding_qkv,256,5376,16384,cublas,wmma_64x64,0.4074,0.4074,2.5256,1.0,50
