backend,cublas_backend,cublas_algo,op,m,k,n,route,config,chosen_ms,cublas_ms,custom_ms,speedup,weight
sgemm-bf16,lt,default_tensor,ffn_down,16,21504,5376,cublas,bf16_16x32,0.3406,0.3406,0.3879,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,32,21504,5376,cublas,bf16_16x64,0.3406,0.3406,0.4125,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,64,21504,5376,cublas,bf16_16x64,0.3541,0.3541,0.776,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,128,21504,5376,cublas,bf16_128x64,0.3771,0.3771,1.5806,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,256,21504,5376,cublas,bf16_128x64,0.419,0.419,3.2766,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,512,21504,5376,cublas,bf16_128x64,0.7909,0.7909,6.7228,1.0,60
sgemm-bf16,lt,default_tensor,global_k,16,5376,2048,cublas,bf16_16x32,0.0418,0.0418,0.0682,1.0,10
sgemm-bf16,lt,default_tensor,global_k,32,5376,2048,cublas,bf16_16x32,0.0428,0.0428,0.0719,1.0,10
sgemm-bf16,lt,default_tensor,global_k,64,5376,2048,cublas,bf16_16x32,0.0435,0.0435,0.101,1.0,10
sgemm-bf16,lt,default_tensor,global_k,128,5376,2048,cublas,bf16_16x32,0.0467,0.0467,0.1733,1.0,10
sgemm-bf16,lt,default_tensor,global_k,256,5376,2048,cublas,bf16_16x32,0.0623,0.0623,0.3327,1.0,10
sgemm-bf16,lt,default_tensor,global_k,512,5376,2048,cublas,bf16_16x64,0.1248,0.1248,0.6373,1.0,10
sgemm-bf16,lt,default_tensor,sliding_o,16,8192,5376,cublas,bf16_16x64,0.1343,0.1343,0.1589,1.0,50
sgemm-bf16,lt,default_tensor,sliding_o,32,8192,5376,cublas,bf16_16x32,0.1348,0.1348,0.1694,1.0,50
sgemm-bf16,lt,default_tensor,sliding_o,64,8192,5376,cublas,bf16_16x64,0.1378,0.1378,0.2992,1.0,50
sgemm-bf16,lt,default_tensor,sliding_o,128,8192,5376,cublas,bf16_64x128,0.1462,0.1462,0.6013,1.0,50
sgemm-bf16,lt,default_tensor,sliding_o,256,8192,5376,cublas,bf16_128x64,0.2241,0.2241,1.2009,1.0,50
sgemm-bf16,lt,default_tensor,sliding_o,512,8192,5376,cublas,bf16_64x128,0.303,0.303,2.4917,1.0,50
tuna,lt,default_tensor,ffn_down,16,21504,5376,cublas,wmma_16x32,0.341,0.341,0.3826,1.0,60
tuna,lt,default_tensor,ffn_down,32,21504,5376,cublas,wmma_32x64,0.3402,0.3402,0.4138,1.0,60
tuna,lt,default_tensor,ffn_down,64,21504,5376,cublas,wmma_16x64,0.3548,0.3548,0.7759,1.0,60
tuna,lt,default_tensor,ffn_down,128,21504,5376,cublas,wmma_64x64,0.3767,0.3767,1.7032,1.0,60
tuna,lt,default_tensor,ffn_down,256,21504,5376,cublas,wmma_64x64,0.4146,0.4146,3.5221,1.0,60
tuna,lt,default_tensor,ffn_down,512,21504,5376,cublas,wmma_64x64,0.7723,0.7723,7.0264,1.0,60
tuna,lt,default_tensor,global_k,16,5376,2048,cublas,wmma_16x32,0.0418,0.0418,0.0677,1.0,10
tuna,lt,default_tensor,global_k,32,5376,2048,cublas,wmma_16x32,0.0419,0.0419,0.0703,1.0,10
tuna,lt,default_tensor,global_k,64,5376,2048,cublas,wmma_16x16,0.0444,0.0444,0.091,1.0,10
tuna,lt,default_tensor,global_k,128,5376,2048,cublas,wmma_16x16,0.0462,0.0462,0.1621,1.0,10
tuna,lt,default_tensor,global_k,256,5376,2048,cublas,wmma_16x16,0.0625,0.0625,0.3316,1.0,10
tuna,lt,default_tensor,global_k,512,5376,2048,cublas,wmma_16x64,0.1259,0.1259,0.6368,1.0,10
tuna,lt,default_tensor,sliding_o,16,8192,5376,cublas,wmma_16x64,0.1342,0.1342,0.1592,1.0,50
tuna,lt,default_tensor,sliding_o,32,8192,5376,cublas,wmma_16x32,0.1348,0.1348,0.1693,1.0,50
tuna,lt,default_tensor,sliding_o,64,8192,5376,cublas,wmma_16x64,0.1377,0.1377,0.2986,1.0,50
tuna,lt,default_tensor,sliding_o,128,8192,5376,cublas,wmma_64x64,0.1441,0.1441,0.6069,1.0,50
tuna,lt,default_tensor,sliding_o,256,8192,5376,cublas,wmma_64x64,0.2169,0.2169,1.2201,1.0,50
tuna,lt,default_tensor,sliding_o,512,8192,5376,cublas,wmma_64x64,0.3017,0.3017,2.4733,1.0,50
