backend,op,m,k,n,route,config,chosen_ms,cublas_ms,custom_ms,speedup,weight
sgemm-bf16,ffn_down,16,21504,5376,custom,bf16_16x64,0.3869,1.3575,0.3869,3.5086585681054534,60
sgemm-bf16,ffn_down,32,21504,5376,custom,bf16_16x64,0.4134,1.3342,0.4134,3.227382680212869,60
sgemm-bf16,ffn_down,64,21504,5376,custom,bf16_16x64,0.777,1.5784,0.777,2.0314028314028314,60
sgemm-bf16,ffn_down,128,21504,5376,cublas,bf16_128x64,1.338,1.338,1.5283,1.0,60
sgemm-bf16,ffn_down,256,21504,5376,cublas,bf16_128x64,1.0788,1.0788,3.092,1.0,60
sgemm-bf16,ffn_down,512,21504,5376,cublas,bf16_128x64,0.7896,0.7896,6.5937,1.0,60
sgemm-bf16,global_k,16,5376,2048,custom,bf16_16x32,0.0683,1.4933,0.0683,21.863836017569547,10
sgemm-bf16,global_k,32,5376,2048,custom,bf16_16x32,0.0715,1.8973,0.0715,26.535664335664336,10
sgemm-bf16,global_k,64,5376,2048,custom,bf16_16x64,0.1023,1.6879,0.1023,16.499511241446726,10
sgemm-bf16,global_k,128,5376,2048,cublas,bf16_16x32,0.0464,0.0464,0.1738,1.0,10
sgemm-bf16,global_k,256,5376,2048,cublas,bf16_16x32,0.0647,0.0647,0.3314,1.0,10
sgemm-bf16,global_k,512,5376,2048,custom,bf16_16x64,0.6437,1.4592,0.6437,2.2668945160789185,10
sgemm-bf16,sliding_o,16,8192,5376,cublas,bf16_16x64,0.1347,0.1347,0.1606,1.0,50
sgemm-bf16,sliding_o,32,8192,5376,cublas,bf16_16x32,0.1351,0.1351,0.1703,1.0,50
sgemm-bf16,sliding_o,64,8192,5376,cublas,bf16_16x64,0.1379,0.1379,0.2989,1.0,50
sgemm-bf16,sliding_o,128,8192,5376,cublas,bf16_64x128,0.1466,0.1466,0.6017,1.0,50
sgemm-bf16,sliding_o,256,8192,5376,custom,bf16_64x128,1.1973,1.3552,1.1973,1.1318800634761546,50
sgemm-bf16,sliding_o,512,8192,5376,cublas,bf16_128x64,0.3042,0.3042,2.384,1.0,50
tuna,ffn_down,16,21504,5376,custom,wmma_16x64,0.385,1.7572,0.385,4.564155844155844,60
tuna,ffn_down,32,21504,5376,custom,wmma_32x64,0.4148,1.3795,0.4148,3.325699132111861,60
tuna,ffn_down,64,21504,5376,custom,wmma_16x64,0.7768,2.0746,0.7768,2.6707003089598356,60
tuna,ffn_down,128,21504,5376,cublas,wmma_64x64,1.2456,1.2456,1.6642,1.0,60
tuna,ffn_down,256,21504,5376,cublas,wmma_64x64,1.625,1.625,3.2316,1.0,60
tuna,ffn_down,512,21504,5376,cublas,wmma_64x64,0.7692,0.7692,6.9673,1.0,60
tuna,global_k,16,5376,2048,custom,wmma_16x32,0.0703,1.4249,0.0703,20.268847795163584,10
tuna,global_k,32,5376,2048,custom,wmma_16x32,0.0714,1.7223,0.0714,24.121848739495796,10
tuna,global_k,64,5376,2048,custom,wmma_16x16,0.0921,1.82,0.0921,19.76112920738328,10
tuna,global_k,128,5376,2048,cublas,wmma_16x16,0.046,0.046,0.1628,1.0,10
tuna,global_k,256,5376,2048,cublas,wmma_16x32,0.0643,0.0643,0.3322,1.0,10
tuna,global_k,512,5376,2048,custom,wmma_16x64,0.6464,1.48,0.6464,2.2896039603960396,10
tuna,sliding_o,16,8192,5376,cublas,wmma_16x64,0.1349,0.1349,0.1604,1.0,50
tuna,sliding_o,32,8192,5376,cublas,wmma_16x32,0.1358,0.1358,0.1701,1.0,50
tuna,sliding_o,64,8192,5376,cublas,wmma_16x64,0.1384,0.1384,0.3019,1.0,50
tuna,sliding_o,128,8192,5376,cublas,wmma_64x64,0.1465,0.1465,0.6081,1.0,50
tuna,sliding_o,256,8192,5376,custom,wmma_64x64,1.2229,1.3735,1.2229,1.1231498896066725,50
tuna,sliding_o,512,8192,5376,cublas,wmma_64x64,0.3024,0.3024,2.4577,1.0,50
