backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,ffn_gate_up,bf16_16x32,16,5376,43008,0.6717,1.8945,0.355,3.91,0.0
sgemm-bf16,ffn_gate_up,bf16_16x32,64,5376,43008,0.6961,8.1615,0.085,3.63,0.015625
sgemm-bf16,ffn_gate_up,bf16_16x32,256,5376,43008,0.8295,33.3249,0.025,3.55,0.0
sgemm-bf16,ffn_gate_up,bf16_32x64,16,5376,43008,0.6703,1.5916,0.421,4.65,0.0
sgemm-bf16,ffn_gate_up,bf16_32x64,64,5376,43008,0.6952,3.262,0.213,9.07,0.015625
sgemm-bf16,ffn_gate_up,bf16_32x64,256,5376,43008,0.8314,13.2299,0.063,8.95,0.0
sgemm-bf16,ffn_gate_up,bf16_64x64,16,5376,43008,0.6687,1.5675,0.427,4.72,0.0
sgemm-bf16,ffn_gate_up,bf16_64x64,64,5376,43008,0.6922,1.5679,0.441,18.88,0.015625
sgemm-bf16,ffn_gate_up,bf16_64x64,256,5376,43008,0.8495,6.5159,0.13,18.17,0.0
sgemm-bf16,ffn_down,bf16_16x32,16,21504,5376,1.9021,0.3886,4.895,9.52,0.03125
sgemm-bf16,ffn_down,bf16_16x32,64,21504,5376,2.7985,2.1541,1.299,6.87,0.03125
sgemm-bf16,ffn_down,bf16_16x32,256,21504,5376,1.7101,15.8802,0.108,3.73,0.03125
sgemm-bf16,ffn_down,bf16_32x64,16,21504,5376,1.6618,0.4165,3.99,8.88,0.03125
sgemm-bf16,ffn_down,bf16_32x64,64,21504,5376,1.4624,1.4523,1.007,10.19,0.03125
sgemm-bf16,ffn_down,bf16_32x64,256,21504,5376,1.186,5.8128,0.204,10.18,0.03125
sgemm-bf16,ffn_down,bf16_64x64,16,21504,5376,6.8113,0.7964,8.552,4.64,0.03125
sgemm-bf16,ffn_down,bf16_64x64,64,21504,5376,3.249,0.7893,4.116,18.75,0.03125
sgemm-bf16,ffn_down,bf16_64x64,256,21504,5376,2.1664,3.1807,0.681,18.61,0.03125
sgemm-bf16,sliding_qkv,bf16_16x32,16,5376,16384,1.6472,0.4017,4.1,7.02,0.015625
sgemm-bf16,sliding_qkv,bf16_16x32,64,5376,16384,0.2849,2.9235,0.097,3.86,0.0
sgemm-bf16,sliding_qkv,bf16_16x32,256,5376,16384,0.4077,12.3058,0.033,3.66,0.0
sgemm-bf16,sliding_qkv,bf16_32x64,16,5376,16384,1.9914,0.6316,3.153,4.46,0.015625
sgemm-bf16,sliding_qkv,bf16_32x64,64,5376,16384,0.2846,1.2298,0.231,9.17,0.0
sgemm-bf16,sliding_qkv,bf16_32x64,256,5376,16384,0.4101,5.0,0.082,9.02,0.0
sgemm-bf16,sliding_qkv,bf16_64x64,16,5376,16384,5.2021,0.7841,6.635,3.59,0.015625
sgemm-bf16,sliding_qkv,bf16_64x64,64,5376,16384,0.2881,0.7842,0.367,14.38,0.0
sgemm-bf16,sliding_qkv,bf16_64x64,256,5376,16384,0.4092,2.5287,0.162,17.83,0.0
sgemm-bf16,sliding_o,bf16_16x32,16,8192,5376,0.1369,0.1614,0.848,8.73,0.015625
sgemm-bf16,sliding_o,bf16_16x32,64,8192,5376,0.1412,0.321,0.44,17.56,0.015625
sgemm-bf16,sliding_o,bf16_16x32,256,8192,5376,1.3719,5.5791,0.246,4.04,0.03125
sgemm-bf16,sliding_o,bf16_32x64,16,8192,5376,0.1369,0.1766,0.775,7.98,0.015625
sgemm-bf16,sliding_o,bf16_32x64,64,8192,5376,0.1418,0.3122,0.454,18.05,0.015625
sgemm-bf16,sliding_o,bf16_32x64,256,8192,5376,2.6965,1.8768,1.437,12.01,0.03125
sgemm-bf16,sliding_o,bf16_64x64,16,8192,5376,0.1366,0.3104,0.44,4.54,0.015625
sgemm-bf16,sliding_o,bf16_64x64,64,8192,5376,0.2956,0.3123,0.947,18.05,0.015625
sgemm-bf16,sliding_o,bf16_64x64,256,8192,5376,2.016,1.2378,1.629,18.22,0.03125
sgemm-bf16,global_q,bf16_16x32,16,5376,16384,3.5247,0.407,8.66,6.93,0.015625
sgemm-bf16,global_q,bf16_16x32,64,5376,16384,0.287,2.9213,0.098,3.86,0.0
sgemm-bf16,global_q,bf16_16x32,256,5376,16384,0.4104,12.3189,0.033,3.66,0.0
sgemm-bf16,global_q,bf16_32x64,16,5376,16384,2.6895,0.6243,4.308,4.51,0.015625
sgemm-bf16,global_q,bf16_32x64,64,5376,16384,0.2808,1.2295,0.228,9.17,0.0
sgemm-bf16,global_q,bf16_32x64,256,5376,16384,0.4079,4.9991,0.082,9.02,0.0
sgemm-bf16,global_q,bf16_64x64,16,5376,16384,2.6153,0.7811,3.348,3.61,0.015625
