backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs,cublas_backend,cublas_algo
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_16x32,16,5376,43008,0.6688,1.9037,0.351,3.89,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_16x32,64,5376,43008,0.6928,8.1644,0.085,3.62,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_16x32,256,5376,43008,0.849,33.2567,0.026,3.56,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_32x64,16,5376,43008,0.6697,1.5806,0.424,4.68,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_32x64,64,5376,43008,0.692,3.2507,0.213,9.1,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_32x64,256,5376,43008,0.8383,13.2257,0.063,8.95,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_64x64,16,5376,43008,0.6677,1.5666,0.426,4.72,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_64x64,64,5376,43008,0.6921,1.5693,0.441,18.86,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_gate_up,bf16_64x64,256,5376,43008,0.8557,6.3421,0.135,18.67,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,16,21504,5376,0.3414,0.3885,0.879,9.52,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,64,21504,5376,0.3597,2.1878,0.164,6.76,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,256,21504,5376,0.419,15.7812,0.027,3.75,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,16,21504,5376,0.3419,0.4146,0.825,8.92,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,64,21504,5376,0.3581,1.4653,0.244,10.1,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,256,21504,5376,0.4215,5.8632,0.072,10.1,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,16,21504,5376,0.3418,0.785,0.435,4.71,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,64,21504,5376,0.3558,0.7885,0.451,18.77,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,256,21504,5376,0.4228,3.2034,0.132,18.48,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_16x32,16,5376,16384,0.2702,0.3981,0.679,7.08,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_16x32,64,5376,16384,0.2823,2.9133,0.097,3.87,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_16x32,256,5376,16384,0.4059,12.312,0.033,3.66,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_32x64,16,5376,16384,0.2691,0.6256,0.43,4.51,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_32x64,64,5376,16384,0.2804,1.2284,0.228,9.18,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_32x64,256,5376,16384,0.4057,4.9952,0.081,9.03,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_64x64,16,5376,16384,0.2694,0.7809,0.345,3.61,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_64x64,64,5376,16384,0.28,0.7812,0.358,14.43,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_qkv,bf16_64x64,256,5376,16384,0.4068,2.5259,0.161,17.85,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,16,8192,5376,0.1361,0.1615,0.843,8.73,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,64,8192,5376,0.1385,0.3212,0.431,17.55,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,256,8192,5376,0.2262,5.5636,0.041,4.05,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,16,8192,5376,0.1354,0.1691,0.801,8.33,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,64,8192,5376,0.1385,0.3092,0.448,18.23,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,256,8192,5376,0.2334,1.8758,0.124,12.02,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,16,8192,5376,0.1347,0.3087,0.437,4.57,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,64,8192,5376,0.1401,0.3076,0.455,18.33,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,256,8192,5376,0.2229,1.2296,0.181,18.34,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_16x32,16,5376,16384,0.2692,0.3789,0.71,7.44,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_16x32,64,5376,16384,0.2803,2.9074,0.096,3.88,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_16x32,256,5376,16384,0.4062,12.3274,0.033,3.66,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_32x64,16,5376,16384,0.269,0.6265,0.429,4.5,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_32x64,64,5376,16384,0.2793,1.2248,0.228,9.2,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_32x64,256,5376,16384,0.4086,4.999,0.082,9.02,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_64x64,16,5376,16384,0.2696,0.7805,0.345,3.61,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_64x64,64,5376,16384,0.2785,0.7801,0.357,14.45,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_q,bf16_64x64,256,5376,16384,0.406,2.5261,0.161,17.85,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,16,5376,2048,0.0426,0.0694,0.614,5.08,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,64,5376,2048,0.0447,0.1019,0.439,13.84,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,256,5376,2048,0.0651,0.3342,0.195,16.87,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,16,5376,2048,0.0437,0.1026,0.426,3.43,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,64,5376,2048,0.0566,0.1071,0.529,13.15,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,256,5376,2048,0.0634,0.3901,0.162,14.45,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,16,5376,2048,0.0423,0.1996,0.212,1.76,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,64,5376,2048,0.0438,0.1986,0.22,7.1,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,256,5376,2048,0.0627,0.3909,0.16,14.42,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_16x32,16,16384,5376,0.2582,0.2918,0.885,9.66,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_16x32,64,16384,5376,0.2697,0.6163,0.438,18.29,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_16x32,256,16384,5376,0.4492,11.6513,0.039,3.87,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_32x64,16,16384,5376,0.2575,0.3135,0.822,8.99,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_32x64,64,16384,5376,0.2675,0.6112,0.438,18.45,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_32x64,256,16384,5376,0.4474,4.4086,0.101,10.23,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_64x64,16,16384,5376,0.2579,0.6102,0.423,4.62,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_64x64,64,16384,5376,0.2653,0.6107,0.434,18.46,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_o,bf16_64x64,256,16384,5376,0.4504,2.4545,0.183,18.37,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_16x32,16,5376,262144,4.0315,12.5079,0.322,3.61,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_16x32,64,5376,262144,4.1524,50.7131,0.082,3.56,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_16x32,256,5376,262144,5.6402,204.2624,0.028,3.53,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_32x64,16,5376,262144,4.0286,10.0022,0.403,4.51,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_32x64,64,5376,262144,4.149,19.9856,0.208,9.03,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_32x64,256,5376,262144,5.7683,80.1717,0.072,9.0,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_64x64,16,5376,262144,4.0304,9.7673,0.413,4.62,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_64x64,64,5376,262144,4.1493,9.7813,0.424,18.44,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,final_logits,bf16_64x64,256,5376,262144,5.9013,39.4961,0.149,18.27,0.0,lt,default_tensor
