backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs,cublas_backend,cublas_algo
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,16,21504,5376,0.3406,0.3879,0.878,9.54,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,32,21504,5376,0.341,0.4198,0.812,17.63,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,64,21504,5376,0.3546,2.0656,0.172,7.16,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,128,21504,5376,0.3774,7.1545,0.053,4.14,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,256,21504,5376,0.4328,15.8066,0.027,3.74,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,512,21504,5376,0.8155,33.2601,0.025,3.56,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,16,21504,5376,0.3407,0.3879,0.878,9.54,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,32,21504,5376,0.3417,0.4125,0.828,17.94,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,64,21504,5376,0.3541,0.776,0.456,19.07,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,128,21504,5376,0.3802,5.6842,0.067,5.21,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,256,21504,5376,0.4214,14.1911,0.03,4.17,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,512,21504,5376,0.7909,31.7011,0.025,3.73,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,16,21504,5376,0.3412,0.4134,0.825,8.95,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,32,21504,5376,0.3411,0.413,0.826,17.92,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,64,21504,5376,0.3541,1.4564,0.243,10.16,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,128,21504,5376,0.379,2.1509,0.176,13.76,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,256,21504,5376,0.423,5.8625,0.072,10.1,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,512,21504,5376,0.7977,15.5575,0.051,7.61,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,16,21504,5376,0.341,0.7889,0.432,4.69,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,32,21504,5376,0.3412,0.7849,0.435,9.43,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,64,21504,5376,0.3558,0.787,0.452,18.8,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,128,21504,5376,0.3809,1.6933,0.225,17.48,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,256,21504,5376,0.4361,3.3679,0.129,17.57,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,512,21504,5376,0.8157,6.9416,0.118,17.05,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x128,16,21504,5376,0.3425,1.5529,0.221,2.38,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x128,32,21504,5376,0.3406,1.5512,0.22,4.77,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x128,64,21504,5376,0.3549,1.5405,0.23,9.61,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x128,128,21504,5376,0.3771,1.7478,0.216,16.93,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x128,256,21504,5376,0.4242,3.9042,0.109,15.16,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x128,512,21504,5376,0.7976,8.0427,0.099,14.72,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,16,21504,5376,0.3408,1.6074,0.212,2.3,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,32,21504,5376,0.3406,1.5948,0.214,4.64,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,64,21504,5376,0.3562,1.563,0.228,9.47,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,128,21504,5376,0.3772,1.5806,0.239,18.72,0.0625,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,256,21504,5376,0.419,3.2766,0.128,18.06,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,512,21504,5376,0.7939,6.7228,0.118,17.61,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,16,5376,2048,0.0563,0.0682,0.825,5.16,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,32,5376,2048,0.066,0.0719,0.918,9.8,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,64,5376,2048,0.0435,0.101,0.431,13.95,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,128,5376,2048,0.0467,0.1733,0.27,16.26,0.0078125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,256,5376,2048,0.0629,0.3327,0.189,16.94,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x32,512,5376,2048,0.1251,0.9111,0.137,12.37,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x64,16,5376,2048,0.0427,0.0708,0.603,4.97,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x64,32,5376,2048,0.2046,0.0721,2.838,9.78,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x64,64,5376,2048,0.0512,0.1022,0.501,13.8,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x64,128,5376,2048,0.0467,0.1965,0.238,14.34,0.0078125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x64,256,5376,2048,0.0624,0.3436,0.182,16.4,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_16x64,512,5376,2048,0.1258,0.6373,0.197,17.69,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,16,5376,2048,0.0418,0.1012,0.413,3.48,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,32,5376,2048,0.0428,0.1009,0.425,6.99,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,64,5376,2048,0.0436,0.1056,0.413,13.34,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,128,5376,2048,0.0469,0.1974,0.238,14.28,0.0078125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,256,5376,2048,0.063,0.3897,0.162,14.47,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_32x64,512,5376,2048,0.1248,0.6791,0.184,16.6,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,16,5376,2048,0.0421,0.2015,0.209,1.75,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,32,5376,2048,0.0456,0.1989,0.229,3.54,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,64,5376,2048,0.0444,0.1999,0.222,7.05,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,128,5376,2048,0.047,0.1984,0.237,14.21,0.0078125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,256,5376,2048,0.0624,0.3901,0.16,14.45,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x64,512,5376,2048,0.1272,0.7745,0.164,14.56,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x128,16,5376,2048,0.0423,0.389,0.109,0.91,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x128,32,5376,2048,0.0554,0.389,0.142,1.81,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x128,64,5376,2048,0.0558,0.3892,0.143,3.62,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x128,128,5376,2048,0.0475,0.3894,0.122,7.24,0.0078125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x128,256,5376,2048,0.0627,0.3904,0.161,14.44,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_64x128,512,5376,2048,0.1265,0.7751,0.163,14.55,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_128x64,16,5376,2048,0.0432,0.3894,0.111,0.9,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_128x64,32,5376,2048,0.0432,0.3894,0.111,1.81,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_128x64,64,5376,2048,0.0443,0.3893,0.114,3.62,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_128x64,128,5376,2048,0.0475,0.3901,0.122,7.23,0.0078125,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_128x64,256,5376,2048,0.0623,0.3904,0.159,14.44,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,global_k,bf16_128x64,512,5376,2048,0.1269,0.7749,0.164,14.55,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,16,8192,5376,0.1347,0.1611,0.836,8.75,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,32,8192,5376,0.1354,0.1694,0.8,16.64,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,64,8192,5376,0.138,0.317,0.435,17.78,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,128,8192,5376,0.1462,2.3399,0.062,4.82,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,256,8192,5376,0.2253,5.5821,0.04,4.04,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x32,512,8192,5376,0.3032,12.1143,0.025,3.72,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x64,16,8192,5376,0.135,0.1589,0.85,8.87,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x64,32,8192,5376,0.1374,0.1714,0.802,16.45,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x64,64,8192,5376,0.1381,0.2992,0.462,18.84,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x64,128,8192,5376,0.1466,1.8099,0.081,6.23,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x64,256,8192,5376,0.2241,4.9279,0.045,4.58,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_16x64,512,8192,5376,0.3042,11.5391,0.026,3.91,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,16,8192,5376,0.1344,0.1733,0.776,8.13,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,32,8192,5376,0.1355,0.1726,0.785,16.33,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,64,8192,5376,0.1378,0.3078,0.448,18.31,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,128,8192,5376,0.1462,0.721,0.203,15.64,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,256,8192,5376,0.2242,1.8732,0.12,12.04,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_32x64,512,8192,5376,0.3045,4.8385,0.063,9.32,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,16,8192,5376,0.1343,0.3075,0.437,4.58,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,32,8192,5376,0.1361,0.3069,0.443,9.18,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,64,8192,5376,0.1379,0.3069,0.449,18.37,0.015625,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,128,8192,5376,0.1467,0.6103,0.24,18.47,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,256,8192,5376,0.225,1.2416,0.181,18.16,0.03125,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x64,512,8192,5376,0.3106,2.5331,0.123,17.8,0.0,lt,default_tensor
sgemm-bf16,lt,default_tensor,sliding_o,bf16_64x128,16,8192,5376,0.1355,0.5933,0.228,2.38,0.015625,lt,default_tensor
