backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,ffn_down,bf16_16x32,16,21504,5376,1.8454,0.3889,4.745,9.51,0.03125
sgemm-bf16,ffn_down,bf16_16x32,32,21504,5376,1.4366,0.4213,3.41,17.56,0.03125
sgemm-bf16,ffn_down,bf16_16x32,64,21504,5376,1.9157,2.184,0.877,6.78,0.03125
sgemm-bf16,ffn_down,bf16_16x32,128,21504,5376,1.4581,7.2591,0.201,4.08,0.0625
sgemm-bf16,ffn_down,bf16_16x32,256,21504,5376,1.4986,15.7653,0.095,3.75,0.03125
sgemm-bf16,ffn_down,bf16_16x32,512,21504,5376,0.7926,33.164,0.024,3.57,0.0
sgemm-bf16,ffn_down,bf16_16x64,16,21504,5376,2.601,0.3869,6.723,9.56,0.03125
sgemm-bf16,ffn_down,bf16_16x64,32,21504,5376,1.843,0.4134,4.458,17.9,0.03125
sgemm-bf16,ffn_down,bf16_16x64,64,21504,5376,1.5913,0.777,2.048,19.04,0.03125
sgemm-bf16,ffn_down,bf16_16x64,128,21504,5376,1.6682,5.5914,0.298,5.29,0.0625
sgemm-bf16,ffn_down,bf16_16x64,256,21504,5376,1.5347,14.3014,0.107,4.14,0.03125
sgemm-bf16,ffn_down,bf16_16x64,512,21504,5376,0.793,31.5877,0.025,3.75,0.0
sgemm-bf16,ffn_down,bf16_32x64,16,21504,5376,5.2533,0.4158,12.634,8.9,0.03125
sgemm-bf16,ffn_down,bf16_32x64,32,21504,5376,2.4543,0.4137,5.932,17.88,0.03125
sgemm-bf16,ffn_down,bf16_32x64,64,21504,5376,3.4182,1.3905,2.458,10.64,0.03125
sgemm-bf16,ffn_down,bf16_32x64,128,21504,5376,2.9627,2.1473,1.38,13.78,0.0625
sgemm-bf16,ffn_down,bf16_32x64,256,21504,5376,2.9503,5.9364,0.497,9.97,0.03125
sgemm-bf16,ffn_down,bf16_32x64,512,21504,5376,0.7896,15.9295,0.05,7.43,0.0
sgemm-bf16,ffn_down,bf16_64x64,16,21504,5376,2.1852,0.792,2.759,4.67,0.03125
sgemm-bf16,ffn_down,bf16_64x64,32,21504,5376,1.3527,0.7915,1.709,9.35,0.03125
sgemm-bf16,ffn_down,bf16_64x64,64,21504,5376,1.5784,0.7841,2.013,18.87,0.03125
sgemm-bf16,ffn_down,bf16_64x64,128,21504,5376,1.6094,1.6766,0.96,17.65,0.0625
sgemm-bf16,ffn_down,bf16_64x64,256,21504,5376,1.7098,3.2107,0.533,18.44,0.03125
sgemm-bf16,ffn_down,bf16_64x64,512,21504,5376,0.7919,6.6588,0.119,17.78,0.0
sgemm-bf16,ffn_down,bf16_64x128,16,21504,5376,1.8501,1.5515,1.192,2.38,0.03125
sgemm-bf16,ffn_down,bf16_64x128,32,21504,5376,1.7734,1.5508,1.144,4.77,0.03125
sgemm-bf16,ffn_down,bf16_64x128,64,21504,5376,1.6034,1.5514,1.034,9.54,0.03125
sgemm-bf16,ffn_down,bf16_64x128,128,21504,5376,1.4653,1.9672,0.745,15.04,0.0625
sgemm-bf16,ffn_down,bf16_64x128,256,21504,5376,1.599,3.8636,0.414,15.32,0.03125
sgemm-bf16,ffn_down,bf16_64x128,512,21504,5376,0.8112,8.4139,0.096,14.07,0.0
sgemm-bf16,ffn_down,bf16_128x64,16,21504,5376,1.3575,1.5911,0.853,2.33,0.03125
sgemm-bf16,ffn_down,bf16_128x64,32,21504,5376,1.3342,1.598,0.835,4.63,0.03125
sgemm-bf16,ffn_down,bf16_128x64,64,21504,5376,1.6147,1.5921,1.014,9.29,0.03125
sgemm-bf16,ffn_down,bf16_128x64,128,21504,5376,1.338,1.5283,0.875,19.36,0.0625
sgemm-bf16,ffn_down,bf16_128x64,256,21504,5376,1.0788,3.092,0.349,19.14,0.03125
sgemm-bf16,ffn_down,bf16_128x64,512,21504,5376,0.7935,6.5937,0.12,17.95,0.0
sgemm-bf16,global_k,bf16_16x32,16,5376,2048,1.6699,0.0683,24.461,5.16,0.015625
sgemm-bf16,global_k,bf16_16x32,32,5376,2048,1.8973,0.0715,26.55,9.86,0.015625
sgemm-bf16,global_k,bf16_16x32,64,5376,2048,2.1191,0.1024,20.695,13.76,0.015625
sgemm-bf16,global_k,bf16_16x32,128,5376,2048,0.048,0.1738,0.276,16.22,0.0078125
sgemm-bf16,global_k,bf16_16x32,256,5376,2048,0.0653,0.3314,0.197,17.01,0.0
sgemm-bf16,global_k,bf16_16x32,512,5376,2048,1.5958,0.9365,1.704,12.04,0.015625
sgemm-bf16,global_k,bf16_16x64,16,5376,2048,2.1937,0.0726,30.213,4.85,0.015625
sgemm-bf16,global_k,bf16_16x64,32,5376,2048,2.0651,0.0735,28.098,9.59,0.015625
sgemm-bf16,global_k,bf16_16x64,64,5376,2048,2.2737,0.1023,22.221,13.77,0.015625
sgemm-bf16,global_k,bf16_16x64,128,5376,2048,0.1293,0.1975,0.655,14.27,0.0078125
sgemm-bf16,global_k,bf16_16x64,256,5376,2048,0.0651,0.3457,0.188,16.31,0.0
sgemm-bf16,global_k,bf16_16x64,512,5376,2048,1.4592,0.6437,2.267,17.51,0.015625
sgemm-bf16,global_k,bf16_32x64,16,5376,2048,1.9791,0.1037,19.078,3.4,0.015625
sgemm-bf16,global_k,bf16_32x64,32,5376,2048,2.626,0.1038,25.292,6.79,0.015625
sgemm-bf16,global_k,bf16_32x64,64,5376,2048,2.2202,0.1075,20.654,13.11,0.015625
sgemm-bf16,global_k,bf16_32x64,128,5376,2048,0.0466,0.1988,0.235,14.18,0.0078125
sgemm-bf16,global_k,bf16_32x64,256,5376,2048,0.065,0.391,0.166,14.42,0.0
sgemm-bf16,global_k,bf16_32x64,512,5376,2048,1.8638,0.6784,2.747,16.62,0.015625
sgemm-bf16,global_k,bf16_64x64,16,5376,2048,1.4933,0.2024,7.378,1.74,0.015625
sgemm-bf16,global_k,bf16_64x64,32,5376,2048,2.0901,0.201,10.398,3.51,0.015625
sgemm-bf16,global_k,bf16_64x64,64,5376,2048,1.9107,0.2007,9.52,7.02,0.015625
sgemm-bf16,global_k,bf16_64x64,128,5376,2048,0.0464,0.2004,0.232,14.07,0.0078125
sgemm-bf16,global_k,bf16_64x64,256,5376,2048,0.0657,0.3915,0.168,14.4,0.0
sgemm-bf16,global_k,bf16_64x64,512,5376,2048,1.8048,0.7764,2.325,14.52,0.015625
sgemm-bf16,global_k,bf16_64x128,16,5376,2048,1.9744,0.3915,5.043,0.9,0.015625
sgemm-bf16,global_k,bf16_64x128,32,5376,2048,1.9687,0.3905,5.041,1.8,0.015625
sgemm-bf16,global_k,bf16_64x128,64,5376,2048,1.6879,0.39,4.328,3.61,0.015625
sgemm-bf16,global_k,bf16_64x128,128,5376,2048,0.0471,0.3912,0.12,7.21,0.0078125
sgemm-bf16,global_k,bf16_64x128,256,5376,2048,0.0647,0.391,0.166,14.42,0.0
sgemm-bf16,global_k,bf16_64x128,512,5376,2048,1.5384,0.776,1.983,14.53,0.015625
sgemm-bf16,global_k,bf16_128x64,16,5376,2048,1.5872,0.3899,4.071,0.9,0.015625
sgemm-bf16,global_k,bf16_128x64,32,5376,2048,2.5975,0.3909,6.646,1.8,0.015625
sgemm-bf16,global_k,bf16_128x64,64,5376,2048,2.1832,0.3905,5.59,3.61,0.015625
sgemm-bf16,global_k,bf16_128x64,128,5376,2048,0.0483,0.3911,0.124,7.21,0.0078125
sgemm-bf16,global_k,bf16_128x64,256,5376,2048,0.065,0.3912,0.166,14.41,0.0
sgemm-bf16,global_k,bf16_128x64,512,5376,2048,1.9819,0.7761,2.554,14.53,0.015625
sgemm-bf16,sliding_o,bf16_16x32,16,8192,5376,0.1371,0.1625,0.844,8.67,0.015625
sgemm-bf16,sliding_o,bf16_16x32,32,8192,5376,0.1364,0.1703,0.801,16.55,0.0
sgemm-bf16,sliding_o,bf16_16x32,64,8192,5376,0.1389,0.319,0.435,17.67,0.015625
sgemm-bf16,sliding_o,bf16_16x32,128,8192,5376,0.1472,2.2984,0.064,4.91,0.0
sgemm-bf16,sliding_o,bf16_16x32,256,8192,5376,2.1356,5.5586,0.384,4.06,0.03125
sgemm-bf16,sliding_o,bf16_16x32,512,8192,5376,0.31,12.0131,0.026,3.75,0.0
sgemm-bf16,sliding_o,bf16_16x64,16,8192,5376,0.1356,0.1606,0.845,8.78,0.015625
sgemm-bf16,sliding_o,bf16_16x64,32,8192,5376,0.1366,0.1723,0.793,16.36,0.0
sgemm-bf16,sliding_o,bf16_16x64,64,8192,5376,0.1389,0.2989,0.465,18.86,0.015625
sgemm-bf16,sliding_o,bf16_16x64,128,8192,5376,0.1467,1.8719,0.078,6.02,0.0
sgemm-bf16,sliding_o,bf16_16x64,256,8192,5376,1.3697,5.0122,0.273,4.5,0.03125
sgemm-bf16,sliding_o,bf16_16x64,512,8192,5376,0.3042,11.494,0.026,3.92,0.0
sgemm-bf16,sliding_o,bf16_32x64,16,8192,5376,0.1347,0.1721,0.783,8.19,0.015625
sgemm-bf16,sliding_o,bf16_32x64,32,8192,5376,0.1354,0.1727,0.784,16.32,0.0
sgemm-bf16,sliding_o,bf16_32x64,64,8192,5376,0.1379,0.308,0.448,18.3,0.015625
sgemm-bf16,sliding_o,bf16_32x64,128,8192,5376,0.147,0.7193,0.204,15.67,0.0
sgemm-bf16,sliding_o,bf16_32x64,256,8192,5376,1.4951,1.8848,0.793,11.96,0.03125
sgemm-bf16,sliding_o,bf16_32x64,512,8192,5376,0.3108,4.8537,0.064,9.29,0.0
sgemm-bf16,sliding_o,bf16_64x64,16,8192,5376,0.1364,0.3073,0.444,4.59,0.015625
sgemm-bf16,sliding_o,bf16_64x64,32,8192,5376,0.1357,0.3074,0.441,9.17,0.0
sgemm-bf16,sliding_o,bf16_64x64,64,8192,5376,0.1381,0.308,0.448,18.3,0.015625
sgemm-bf16,sliding_o,bf16_64x64,128,8192,5376,0.1472,0.6132,0.24,18.39,0.0
sgemm-bf16,sliding_o,bf16_64x64,256,8192,5376,1.3775,1.2294,1.12,18.34,0.03125
sgemm-bf16,sliding_o,bf16_64x64,512,8192,5376,0.3046,2.4503,0.124,18.4,0.0
sgemm-bf16,sliding_o,bf16_64x128,16,8192,5376,0.1357,0.5941,0.228,2.37,0.015625
