backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,8,21504,5376,0.3377,0.3501,0.965,5.28,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,16,21504,5376,0.3398,0.3511,0.968,10.54,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,32,21504,5376,0.3402,0.3528,0.964,20.97,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,64,21504,5376,0.3538,0.3548,0.997,41.71,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,96,21504,5376,0.3749,0.3568,1.051,62.21,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,128,21504,5376,0.3792,0.3614,1.049,81.89,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,256,21504,5376,0.4178,0.4264,0.98,138.83,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,8,21504,5376,0.3375,0.3507,0.962,5.27,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,16,21504,5376,0.3399,0.3518,0.966,10.51,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,32,21504,5376,0.3402,0.3527,0.964,20.98,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,64,21504,5376,0.3543,0.3547,0.999,41.72,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,96,21504,5376,0.3718,0.3564,1.043,62.28,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,128,21504,5376,0.3779,0.3605,1.048,82.09,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,256,21504,5376,0.4175,0.7264,0.575,81.49,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,8,21504,5376,0.3375,0.4101,0.823,4.51,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,16,21504,5376,0.3399,0.4101,0.829,9.02,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,32,21504,5376,0.3394,0.3844,0.883,19.25,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,64,21504,5376,0.353,0.3859,0.915,38.35,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,96,21504,5376,0.3722,0.3973,0.937,55.87,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,128,21504,5376,0.3784,0.408,0.927,72.53,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,256,21504,5376,0.4189,0.5214,0.803,113.51,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,8,21504,5376,0.3374,0.3682,0.916,5.02,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,16,21504,5376,0.3402,0.3697,0.92,10.01,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,32,21504,5376,0.34,0.3696,0.92,20.02,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,64,21504,5376,0.353,0.374,0.944,39.57,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,96,21504,5376,0.3733,0.3897,0.958,56.96,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,128,21504,5376,0.3794,0.4715,0.805,62.77,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,256,21504,5376,0.4166,0.9725,0.428,60.87,0.03125
