backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x16,8,21504,5376,0.3388,0.3887,0.872,4.76,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x16,16,21504,5376,0.3411,0.3886,0.878,9.52,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x16,32,21504,5376,0.3418,0.4223,0.809,17.52,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x16,64,21504,5376,0.3572,1.1797,0.303,12.54,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x16,128,21504,5376,0.3798,4.7117,0.081,6.28,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x16,256,21504,5376,0.419,12.5936,0.033,4.7,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,8,21504,5376,0.3399,0.3852,0.882,4.8,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,16,21504,5376,0.3424,0.3853,0.889,9.6,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,32,21504,5376,0.3431,0.4215,0.814,17.55,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,64,21504,5376,0.3548,2.1008,0.169,7.04,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,128,21504,5376,0.381,7.2676,0.052,4.07,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,256,21504,5376,0.4203,15.786,0.027,3.75,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,8,21504,5376,0.3394,0.3882,0.874,4.76,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,16,21504,5376,0.3408,0.3868,0.881,9.56,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,32,21504,5376,0.342,0.4132,0.828,17.91,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,64,21504,5376,0.3546,0.7778,0.456,19.03,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,128,21504,5376,0.3795,5.7344,0.066,5.16,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,256,21504,5376,0.4188,14.2524,0.029,4.15,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x128,8,21504,5376,0.3385,0.412,0.822,4.49,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x128,16,21504,5376,0.3432,0.4119,0.833,8.98,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x128,32,21504,5376,0.3409,0.4151,0.821,17.82,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x128,64,21504,5376,0.3551,1.2997,0.273,11.38,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x128,128,21504,5376,0.3799,2.9856,0.127,9.91,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x128,256,21504,5376,0.4207,11.6808,0.036,5.07,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x32,8,21504,5376,0.3401,0.4104,0.829,4.51,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x32,16,21504,5376,0.3411,0.4111,0.83,9.0,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x32,32,21504,5376,0.3424,0.4119,0.831,17.96,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x32,64,21504,5376,0.3548,0.807,0.44,18.34,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x32,128,21504,5376,0.3849,3.5742,0.108,8.28,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x32,256,21504,5376,0.4188,8.9448,0.047,6.62,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,8,21504,5376,0.3383,0.4128,0.82,4.48,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,16,21504,5376,0.3407,0.4139,0.823,8.94,0.03125
