backend,cublas_backend,cublas_algo,op,m,k,n,route,config,chosen_ms,cublas_ms,custom_ms,speedup,weight
sgemm-bf16,gemmex,default_tensor,ffn_down,8,21504,5376,custom,bf16_auto_ffn_down,0.3504,3.6761,0.3504,10.49115296803653,60
sgemm-bf16,gemmex,default_tensor,ffn_down,16,21504,5376,custom,bf16_auto_ffn_down,0.3506,4.0123,0.3506,11.44409583571021,60
sgemm-bf16,gemmex,default_tensor,ffn_down,32,21504,5376,custom,bf16_auto_ffn_down,0.3527,2.8335,0.3527,8.033739722143464,60
sgemm-bf16,gemmex,default_tensor,ffn_down,64,21504,5376,custom,bf16_auto_ffn_down,0.3541,3.2531,0.3541,9.186952838181304,60
sgemm-bf16,gemmex,default_tensor,ffn_down,96,21504,5376,custom,bf16_auto_ffn_down,0.357,2.9703,0.357,8.320168067226891,60
sgemm-bf16,gemmex,default_tensor,ffn_down,128,21504,5376,custom,bf16_auto_ffn_down,0.3634,3.8941,0.3634,10.715740231150248,60
sgemm-bf16,gemmex,default_tensor,ffn_down,256,21504,5376,custom,bf16_auto_ffn_down,0.4881,3.8283,0.4881,7.843269821757837,60
sgemm-bf16,lt,default_tensor,ffn_down,8,21504,5376,cublas,bf16_auto_ffn_down,0.3374,0.3374,0.3501,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,16,21504,5376,cublas,bf16_auto_ffn_down,0.3398,0.3398,0.3511,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,32,21504,5376,cublas,bf16_cutlass_64x128x64,0.3394,0.3394,0.3527,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,64,21504,5376,cublas,bf16_cutlass_64x128x64,0.353,0.353,0.3547,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,96,21504,5376,cublas,bf16_cutlass_64x128x64,0.3718,0.3718,0.3564,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,128,21504,5376,cublas,bf16_cutlass_64x128x64,0.3779,0.3779,0.3605,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,256,21504,5376,cublas,bf16_auto_ffn_down,0.4166,0.4166,0.4264,1.0,60
