backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,8,21504,5376,0.335,0.3484,0.962,5.31,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,16,21504,5376,0.337,0.3489,0.966,10.6,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,32,21504,5376,0.3385,0.3506,0.966,21.11,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,64,21504,5376,0.3515,0.3531,0.995,41.91,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,96,21504,5376,0.3738,0.3581,1.044,61.99,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,128,21504,5376,0.3802,0.3639,1.045,81.32,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_auto_ffn_down,256,21504,5376,0.5072,0.5266,0.963,112.4,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,8,21504,5376,0.3348,0.3484,0.961,5.31,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,16,21504,5376,0.337,0.349,0.966,10.6,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,32,21504,5376,0.3387,0.3508,0.965,21.09,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,64,21504,5376,0.3515,0.3533,0.995,41.88,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,96,21504,5376,0.3744,0.3577,1.047,62.05,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,128,21504,5376,0.3801,0.3632,1.047,81.49,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x128x64,256,21504,5376,0.4981,0.723,0.689,81.87,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,8,21504,5376,0.3349,0.3849,0.87,4.81,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,16,21504,5376,0.337,0.3864,0.872,9.57,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,32,21504,5376,0.3384,0.3859,0.877,19.17,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,64,21504,5376,0.3515,0.3983,0.882,37.15,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,96,21504,5376,0.3747,0.4226,0.887,52.52,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,128,21504,5376,0.3796,0.4266,0.89,69.37,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_128x128x64,256,21504,5376,0.5026,0.5242,0.959,112.92,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,8,21504,5376,0.3351,0.3668,0.913,5.04,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,16,21504,5376,0.3371,0.3676,0.917,10.06,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,32,21504,5376,0.3389,0.3692,0.918,20.04,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,64,21504,5376,0.3516,0.3741,0.94,39.56,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,96,21504,5376,0.3748,0.4129,0.908,53.76,0.046875
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,128,21504,5376,0.3802,0.4822,0.789,61.38,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_cutlass_64x64,256,21504,5376,0.4994,0.9807,0.509,60.36,0.03125
