backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,8,21504,5376,0.3299,0.3505,0.941,5.28,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,16,21504,5376,0.3306,0.3508,0.942,10.54,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,32,21504,5376,0.333,0.3515,0.947,21.05,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,64,21504,5376,0.3425,0.3557,0.963,41.6,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,96,21504,5376,0.3756,0.3609,1.04,61.5,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,128,21504,5376,0.3813,0.3733,1.021,79.28,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,256,21504,5376,0.5157,0.5332,0.967,111.01,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,8,21504,5376,0.3299,0.3498,0.943,5.29,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,16,21504,5376,0.3304,0.3512,0.941,10.53,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,32,21504,5376,0.3327,0.3517,0.946,21.04,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,64,21504,5376,0.3421,0.3553,0.963,41.65,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,96,21504,5376,0.3743,0.3601,1.04,61.65,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,128,21504,5376,0.3801,0.3691,1.03,80.17,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,256,21504,5376,0.4997,0.7313,0.683,80.93,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_128x128x64,8,21504,5376,0.3299,0.4101,0.804,4.51,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_128x128x64,16,21504,5376,0.3307,0.4178,0.791,8.85,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_128x128x64,32,21504,5376,0.333,0.3985,0.836,18.57,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_128x128x64,64,21504,5376,0.3427,0.4319,0.794,34.27,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_128x128x64,96,21504,5376,0.3762,0.4618,0.815,48.06,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_128x128x64,128,21504,5376,0.3815,0.4641,0.822,63.76,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_128x128x64,256,21504,5376,0.5137,0.5363,0.958,110.36,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x64,8,21504,5376,0.3299,0.3681,0.896,5.03,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x64,16,21504,5376,0.3305,0.3685,0.897,10.04,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x64,32,21504,5376,0.3327,0.3701,0.899,19.99,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x64,64,21504,5376,0.3424,0.3754,0.912,39.42,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x64,96,21504,5376,0.3751,0.4403,0.852,50.41,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x64,128,21504,5376,0.3805,0.5033,0.756,58.8,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x64,256,21504,5376,0.5043,1.0,0.504,59.19,0.03125
