backend,cublas_backend,cublas_algo,op,m,k,n,route,config,chosen_ms,cublas_ms,custom_ms,speedup,weight
sgemm-bf16,gemmex,default_tensor,ffn_down,8,21504,5376,cublas,bf16_auto_ffn_down,0.3349,0.3349,0.3489,1.0,60
sgemm-bf16,gemmex,default_tensor,ffn_down,16,21504,5376,cublas,bf16_cutlass_64x128x64,0.3378,0.3378,0.3489,1.0,60
sgemm-bf16,gemmex,default_tensor,ffn_down,32,21504,5376,cublas,bf16_cutlass_64x128x64,0.3383,0.3383,0.3494,1.0,60
sgemm-bf16,gemmex,default_tensor,ffn_down,64,21504,5376,cublas,bf16_cutlass_64x128x64,0.3516,0.3516,0.3533,1.0,60
sgemm-bf16,gemmex,default_tensor,ffn_down,96,21504,5376,cublas,bf16_cutlass_64x128x64,0.3716,0.3716,0.3565,1.0,60
sgemm-bf16,gemmex,default_tensor,ffn_down,128,21504,5376,custom,bf16_cutlass_64x128x64,0.3596,0.3777,0.3596,1.0503337041156842,60
sgemm-bf16,gemmex,default_tensor,ffn_down,256,21504,5376,cublas,bf16_cutlass_128x128x64,0.4899,0.4899,0.5198,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,8,21504,5376,cublas,bf16_auto_ffn_down,0.3348,0.3348,0.3484,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,16,21504,5376,cublas,bf16_auto_ffn_down,0.337,0.337,0.3489,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,32,21504,5376,cublas,bf16_auto_ffn_down,0.3384,0.3384,0.3506,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,64,21504,5376,cublas,bf16_auto_ffn_down,0.3515,0.3515,0.3531,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,96,21504,5376,cublas,bf16_cutlass_64x128x64,0.3738,0.3738,0.3577,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,128,21504,5376,cublas,bf16_cutlass_64x128x64,0.3796,0.3796,0.3632,1.0,60
sgemm-bf16,lt,default_tensor,ffn_down,256,21504,5376,cublas,bf16_cutlass_128x128x64,0.4981,0.4981,0.5242,1.0,60
