backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_auto_ffn_down,8,21504,5376,0.335,0.3489,0.96,5.3,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_auto_ffn_down,16,21504,5376,0.3382,0.3497,0.967,10.58,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_auto_ffn_down,32,21504,5376,0.3389,0.3505,0.967,21.11,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_auto_ffn_down,64,21504,5376,0.3519,0.3545,0.993,41.75,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_auto_ffn_down,96,21504,5376,0.3733,0.3582,1.042,61.96,0.046875
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_auto_ffn_down,128,21504,5376,0.3795,0.364,1.043,81.3,0.0625
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_auto_ffn_down,256,21504,5376,0.5084,0.5614,0.906,105.44,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x128x64,8,21504,5376,0.3349,0.3569,0.938,5.18,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x128x64,16,21504,5376,0.3378,0.3489,0.968,10.6,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x128x64,32,21504,5376,0.3383,0.3494,0.968,21.18,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x128x64,64,21504,5376,0.3516,0.3533,0.995,41.89,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x128x64,96,21504,5376,0.3716,0.3565,1.042,62.26,0.046875
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x128x64,128,21504,5376,0.3777,0.3596,1.05,82.3,0.0625
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x128x64,256,21504,5376,0.4899,0.7084,0.692,83.56,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_128x128x64,8,21504,5376,0.335,0.3829,0.875,4.83,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_128x128x64,16,21504,5376,0.3379,0.3828,0.883,9.66,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_128x128x64,32,21504,5376,0.3383,0.3833,0.883,19.3,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_128x128x64,64,21504,5376,0.3516,0.394,0.892,37.56,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_128x128x64,96,21504,5376,0.3716,0.4078,0.911,54.44,0.046875
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_128x128x64,128,21504,5376,0.3779,0.422,0.895,70.13,0.0625
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_128x128x64,256,21504,5376,0.4909,0.5198,0.944,113.87,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x64,8,21504,5376,0.335,0.3667,0.914,5.04,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x64,16,21504,5376,0.3379,0.3672,0.92,10.07,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x64,32,21504,5376,0.3383,0.369,0.917,20.05,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x64,64,21504,5376,0.3516,0.3747,0.938,39.49,0.03125
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x64,96,21504,5376,0.3717,0.4157,0.894,53.39,0.046875
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x64,128,21504,5376,0.3784,0.4611,0.821,64.18,0.0625
sgemm-bf16,gemmex,default_tensor,ffn_down,bf16_cutlass_64x64,256,21504,5376,0.4938,0.9738,0.507,60.78,0.03125
