backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,8,21504,5376,0.3382,0.3878,0.872,4.77,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,16,21504,5376,0.3404,0.3883,0.877,9.53,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,32,21504,5376,0.341,0.4196,0.813,17.63,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,64,21504,5376,0.3559,2.0771,0.171,7.12,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,128,21504,5376,0.3798,7.1235,0.053,4.15,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,256,21504,5376,0.4115,15.7914,0.026,3.75,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,8,21504,5376,0.3379,0.3862,0.875,4.79,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,16,21504,5376,0.3405,0.387,0.88,9.56,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,32,21504,5376,0.3416,0.4127,0.828,17.93,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,64,21504,5376,0.3546,0.7768,0.456,19.05,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,128,21504,5376,0.38,5.6279,0.068,5.26,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,256,21504,5376,0.4195,14.21,0.03,4.17,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,8,21504,5376,0.3379,0.4139,0.817,4.47,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,16,21504,5376,0.3406,0.4131,0.825,8.95,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,32,21504,5376,0.341,0.413,0.826,17.91,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,64,21504,5376,0.3544,1.4621,0.242,10.12,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,128,21504,5376,0.3793,2.1595,0.176,13.7,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,256,21504,5376,0.4123,5.8106,0.071,10.19,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,8,21504,5376,0.3384,0.7908,0.428,2.34,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,16,21504,5376,0.3406,0.7913,0.43,4.67,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,32,21504,5376,0.3401,0.7927,0.429,9.33,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,64,21504,5376,0.3552,0.7788,0.456,19.0,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,128,21504,5376,0.3781,1.6707,0.226,17.71,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,256,21504,5376,0.4163,3.4105,0.122,17.36,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,8,21504,5376,0.3389,1.6175,0.21,1.14,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,16,21504,5376,0.341,1.6282,0.209,2.27,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,32,21504,5376,0.3408,1.6211,0.21,4.56,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,64,21504,5376,0.3547,1.5577,0.228,9.5,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,128,21504,5376,0.3763,1.5765,0.239,18.77,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,256,21504,5376,0.419,3.4502,0.121,17.16,0.03125
