backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,8,21504,5376,0.3388,0.3893,0.87,4.75,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,16,21504,5376,0.342,0.3868,0.884,9.56,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,32,21504,5376,0.3409,0.4197,0.812,17.63,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,64,21504,5376,0.3558,2.0757,0.171,7.13,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,128,21504,5376,0.3799,7.1398,0.053,4.15,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x32,256,21504,5376,0.4181,15.8263,0.026,3.74,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,8,21504,5376,0.3388,0.3856,0.879,4.8,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,16,21504,5376,0.3407,0.3879,0.878,9.54,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,32,21504,5376,0.3421,0.4135,0.827,17.89,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,64,21504,5376,0.3549,0.7776,0.456,19.03,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,128,21504,5376,0.3841,5.712,0.067,5.18,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_16x64,256,21504,5376,0.4306,14.1808,0.03,4.17,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,8,21504,5376,0.3391,0.4132,0.821,4.48,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,16,21504,5376,0.3411,0.4145,0.823,8.92,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,32,21504,5376,0.3413,0.4145,0.823,17.85,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,64,21504,5376,0.3557,1.4527,0.245,10.19,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,128,21504,5376,0.3811,2.155,0.177,13.73,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_32x64,256,21504,5376,0.4177,5.8288,0.072,10.15,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,8,21504,5376,0.3398,0.7925,0.429,2.33,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,16,21504,5376,0.3423,0.7919,0.432,4.67,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,32,21504,5376,0.3433,0.783,0.438,9.45,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,64,21504,5376,0.3615,0.79,0.458,18.73,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,128,21504,5376,0.3814,1.6667,0.229,17.76,0.0625
sgemm-bf16,lt,default_tensor,ffn_down,bf16_64x64,256,21504,5376,0.4205,3.2003,0.131,18.5,0.03125
sgemm-bf16,lt,default_tensor,ffn_down,bf16_128x64,8,21504,5376,0.3399,1.6003,0.212,1.16,0.03125
