backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,8,21504,5376,0.3299,0.3501,0.942,5.28,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,16,21504,5376,0.3304,0.3508,0.942,10.54,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,32,21504,5376,0.3327,0.3515,0.947,21.05,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,64,21504,5376,0.3425,0.355,0.965,41.68,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,96,21504,5376,0.375,0.3602,1.041,61.62,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,128,21504,5376,0.38,0.3706,1.025,79.86,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_auto_ffn_down,256,21504,5376,0.5044,0.5288,0.954,111.94,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,8,21504,5376,0.3299,0.3495,0.944,5.29,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,16,21504,5376,0.3305,0.3513,0.941,10.53,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,32,21504,5376,0.3327,0.3525,0.944,20.99,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,64,21504,5376,0.3423,0.3556,0.963,41.62,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,96,21504,5376,0.3745,0.3598,1.041,61.69,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,128,21504,5376,0.3806,0.3661,1.04,80.84,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_cutlass_64x128x64,256,21504,5376,0.4982,0.7339,0.679,80.65,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x64x64,8,21504,5376,0.3299,0.3347,0.986,5.53,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x64x64,16,21504,5376,0.3307,0.3368,0.982,10.98,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x64x64,32,21504,5376,0.3332,0.3363,0.991,22.0,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x64x64,64,21504,5376,0.3428,0.3405,1.007,43.46,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x64x64,96,21504,5376,0.3754,0.4381,0.857,50.66,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x64x64,128,21504,5376,0.382,0.5106,0.748,57.96,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x64x64,256,21504,5376,0.5134,1.0014,0.513,59.1,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x128x64,8,21504,5376,0.3299,0.3412,0.967,5.42,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x128x64,16,21504,5376,0.3305,0.3418,0.967,10.82,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x128x64,32,21504,5376,0.3328,0.3428,0.971,21.58,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x128x64,64,21504,5376,0.3425,0.3458,0.99,42.79,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x128x64,96,21504,5376,0.3737,0.3614,1.034,61.41,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x128x64,128,21504,5376,0.3789,0.3695,1.026,80.1,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_64x128x64,256,21504,5376,0.4991,0.734,0.68,80.64,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_128x128x64,8,21504,5376,0.33,0.3532,0.934,5.24,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_128x128x64,16,21504,5376,0.3306,0.3547,0.932,10.43,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_128x128x64,32,21504,5376,0.333,0.3549,0.938,20.85,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_128x128x64,64,21504,5376,0.3415,0.358,0.954,41.34,0.03125
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_128x128x64,96,21504,5376,0.3762,0.3608,1.043,61.52,0.046875
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_128x128x64,128,21504,5376,0.3818,0.365,1.046,81.08,0.0625
sgemm-bf16,lt,h32,ffn_down,bf16_streamk_128x128x64,256,21504,5376,0.5096,0.5389,0.946,109.83,0.03125
