backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,global_k,bf16_16x32,16,5376,2048,1.3475,0.069,19.542,5.11,0.015625
sgemm-bf16,global_k,bf16_16x32,64,5376,2048,1.6301,0.1021,15.964,13.8,0.015625
sgemm-bf16,global_k,bf16_16x32,256,5376,2048,0.0634,0.335,0.189,16.83,0.0
sgemm-bf16,global_k,bf16_16x64,16,5376,2048,2.3534,0.0713,33.023,4.94,0.015625
sgemm-bf16,global_k,bf16_16x64,64,5376,2048,3.6992,0.1028,35.98,13.71,0.015625
sgemm-bf16,global_k,bf16_16x64,256,5376,2048,0.0632,0.3442,0.184,16.38,0.0
sgemm-bf16,global_k,bf16_32x64,16,5376,2048,2.8972,0.1021,28.368,3.45,0.015625
sgemm-bf16,global_k,bf16_32x64,64,5376,2048,3.5508,0.107,33.191,13.17,0.015625
sgemm-bf16,global_k,bf16_32x64,256,5376,2048,0.0639,0.39,0.164,14.46,0.0
sgemm-bf16,global_k,bf16_64x64,16,5376,2048,3.8382,0.2013,19.065,1.75,0.015625
sgemm-bf16,global_k,bf16_64x64,64,5376,2048,3.2731,0.2001,16.354,7.04,0.015625
sgemm-bf16,global_k,bf16_64x64,256,5376,2048,0.0639,0.392,0.163,14.38,0.0
sgemm-bf16,global_k,bf16_64x128,16,5376,2048,4.4098,0.39,11.306,0.9,0.015625
sgemm-bf16,global_k,bf16_64x128,64,5376,2048,5.6768,0.39,14.556,3.61,0.015625
sgemm-bf16,global_k,bf16_64x128,256,5376,2048,0.0637,0.3907,0.163,14.43,0.0
sgemm-bf16,global_k,bf16_128x64,16,5376,2048,3.4714,0.3912,8.873,0.9,0.015625
sgemm-bf16,global_k,bf16_128x64,64,5376,2048,3.7628,0.3902,9.644,3.61,0.015625
sgemm-bf16,global_k,bf16_128x64,256,5376,2048,0.0652,0.3906,0.167,14.43,0.0
sgemm-bf16,sliding_qkv,bf16_16x32,16,5376,16384,4.8517,0.3862,12.561,7.3,0.015625
sgemm-bf16,sliding_qkv,bf16_16x32,64,5376,16384,0.2828,2.9122,0.097,3.87,0.0
sgemm-bf16,sliding_qkv,bf16_16x32,256,5376,16384,0.4064,12.3109,0.033,3.66,0.0
sgemm-bf16,sliding_qkv,bf16_16x64,16,5376,16384,3.2861,0.404,8.134,6.98,0.015625
sgemm-bf16,sliding_qkv,bf16_16x64,64,5376,16384,0.2796,2.9544,0.095,3.82,0.0
sgemm-bf16,sliding_qkv,bf16_16x64,256,5376,16384,0.4087,12.4908,0.033,3.61,0.0
sgemm-bf16,sliding_qkv,bf16_32x64,16,5376,16384,2.5055,0.6299,3.977,4.47,0.015625
sgemm-bf16,sliding_qkv,bf16_32x64,64,5376,16384,0.2796,1.2255,0.228,9.2,0.0
sgemm-bf16,sliding_qkv,bf16_32x64,256,5376,16384,0.407,4.9985,0.081,9.02,0.0
sgemm-bf16,sliding_qkv,bf16_64x64,16,5376,16384,4.0722,0.7805,5.217,3.61,0.015625
sgemm-bf16,sliding_qkv,bf16_64x64,64,5376,16384,0.2821,0.7809,0.361,14.44,0.0
sgemm-bf16,sliding_qkv,bf16_64x64,256,5376,16384,0.4063,2.5261,0.161,17.85,0.0
sgemm-bf16,sliding_qkv,bf16_64x128,16,5376,16384,2.437,0.8488,2.871,3.32,0.015625
sgemm-bf16,sliding_qkv,bf16_64x128,64,5376,16384,0.2806,0.8479,0.331,13.3,0.0
sgemm-bf16,sliding_qkv,bf16_64x128,256,5376,16384,0.4064,3.0836,0.132,14.62,0.0
sgemm-bf16,sliding_qkv,bf16_128x64,16,5376,16384,4.6981,1.5464,3.038,1.82,0.015625
sgemm-bf16,sliding_qkv,bf16_128x64,64,5376,16384,0.2795,1.5463,0.181,7.29,0.0
sgemm-bf16,sliding_qkv,bf16_128x64,256,5376,16384,0.4072,2.7041,0.151,16.68,0.0
sgemm-bf16,ffn_gate_up,bf16_16x32,16,5376,43008,0.6681,1.9029,0.351,3.89,0.0
sgemm-bf16,ffn_gate_up,bf16_16x32,64,5376,43008,0.693,8.1512,0.085,3.63,0.015625
