backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,global_k,bf16_16x32,256,5376,2048,0.0613,0.334,0.184,16.88,0.0
sgemm-bf16,global_k,bf16_16x32,512,5376,2048,3.9968,0.9137,4.374,12.34,0.015625
sgemm-bf16,global_k,bf16_16x64,256,5376,2048,0.0611,0.3467,0.176,16.26,0.0
sgemm-bf16,global_k,bf16_16x64,512,5376,2048,1.5183,0.6567,2.312,17.17,0.015625
sgemm-bf16,global_k,bf16_32x64,256,5376,2048,0.0613,0.3896,0.157,14.47,0.0
sgemm-bf16,global_k,bf16_32x64,512,5376,2048,1.5666,0.6898,2.271,16.35,0.015625
sgemm-bf16,global_k,bf16_64x64,256,5376,2048,0.0612,0.3894,0.157,14.48,0.0
sgemm-bf16,global_k,bf16_64x64,512,5376,2048,1.4737,0.7734,1.906,14.58,0.015625
sgemm-bf16,global_k,bf16_64x128,256,5376,2048,0.0615,0.3882,0.158,14.52,0.0
sgemm-bf16,global_k,bf16_64x128,512,5376,2048,1.7361,0.7733,2.245,14.58,0.015625
sgemm-bf16,global_k,bf16_128x64,256,5376,2048,0.0611,0.3891,0.157,14.49,0.0
sgemm-bf16,global_k,bf16_128x64,512,5376,2048,1.7186,0.7734,2.222,14.58,0.015625
sgemm-bf16,sliding_o,bf16_16x32,256,8192,5376,2.0986,5.5171,0.38,4.09,0.03125
sgemm-bf16,sliding_o,bf16_16x32,512,8192,5376,0.3002,12.0344,0.025,3.75,0.0
sgemm-bf16,sliding_o,bf16_16x64,256,8192,5376,1.4026,4.9331,0.284,4.57,0.03125
sgemm-bf16,sliding_o,bf16_16x64,512,8192,5376,0.3216,11.5071,0.028,3.92,0.0
sgemm-bf16,sliding_o,bf16_32x64,256,8192,5376,1.4808,1.8711,0.791,12.05,0.03125
sgemm-bf16,sliding_o,bf16_32x64,512,8192,5376,0.3315,4.8525,0.068,9.29,0.0
sgemm-bf16,sliding_o,bf16_64x64,256,8192,5376,1.5653,1.255,1.247,17.97,0.03125
sgemm-bf16,sliding_o,bf16_64x64,512,8192,5376,0.3196,2.5635,0.125,17.59,0.0
sgemm-bf16,sliding_o,bf16_64x128,256,8192,5376,3.6951,1.1946,3.093,18.88,0.03125
sgemm-bf16,sliding_o,bf16_64x128,512,8192,5376,0.3073,2.4096,0.128,18.72,0.0
sgemm-bf16,sliding_o,bf16_128x64,256,8192,5376,1.7215,1.2024,1.432,18.75,0.03125
sgemm-bf16,sliding_o,bf16_128x64,512,8192,5376,0.3053,2.426,0.126,18.59,0.0
