backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
tuna,ffn_gate_up,wmma_16x32,16,5376,43008,0.6698,1.9034,0.352,3.89,0.0
tuna,ffn_gate_up,wmma_16x32,64,5376,43008,0.692,8.17,0.085,3.62,0.015625
tuna,ffn_gate_up,wmma_16x32,256,5376,43008,0.8476,33.2631,0.025,3.56,0.0
tuna,ffn_gate_up,wmma_32x64,16,5376,43008,0.6697,1.5933,0.42,4.64,0.0
tuna,ffn_gate_up,wmma_32x64,64,5376,43008,0.6929,3.253,0.213,9.1,0.015625
tuna,ffn_gate_up,wmma_32x64,256,5376,43008,0.8478,13.2091,0.064,8.96,0.0
tuna,ffn_gate_up,wmma_64x64,16,5376,43008,0.6699,1.5705,0.427,4.71,0.0
tuna,ffn_gate_up,wmma_64x64,64,5376,43008,0.6938,1.5663,0.443,18.89,0.015625
tuna,ffn_gate_up,wmma_64x64,256,5376,43008,0.8523,6.3244,0.135,18.72,0.0
tuna,ffn_down,wmma_16x32,16,21504,5376,3.4362,0.3854,8.915,9.6,0.03125
tuna,ffn_down,wmma_16x32,64,21504,5376,4.0994,2.1011,1.951,7.04,0.03125
tuna,ffn_down,wmma_16x32,256,21504,5376,3.7057,15.7938,0.235,3.75,0.03125
tuna,ffn_down,wmma_32x64,16,21504,5376,3.2935,0.4166,7.906,8.88,0.03125
tuna,ffn_down,wmma_32x64,64,21504,5376,3.3692,1.3926,2.419,10.63,0.03125
tuna,ffn_down,wmma_32x64,256,21504,5376,3.4516,5.8815,0.587,10.06,0.03125
tuna,ffn_down,wmma_64x64,16,21504,5376,4.5035,0.7953,5.662,4.65,0.03125
tuna,ffn_down,wmma_64x64,64,21504,5376,4.6218,0.7966,5.802,18.58,0.03125
tuna,ffn_down,wmma_64x64,256,21504,5376,3.3877,3.1952,1.06,18.52,0.03125
tuna,sliding_qkv,wmma_16x32,16,5376,16384,2.8562,0.3939,7.252,7.16,0.015625
tuna,sliding_qkv,wmma_16x32,64,5376,16384,0.28,2.9134,0.096,3.87,0.0
tuna,sliding_qkv,wmma_16x32,256,5376,16384,0.4091,12.3158,0.033,3.66,0.0
tuna,sliding_qkv,wmma_32x64,16,5376,16384,4.9381,0.6267,7.879,4.5,0.015625
tuna,sliding_qkv,wmma_32x64,64,5376,16384,0.2857,1.2327,0.232,9.15,0.0
tuna,sliding_qkv,wmma_32x64,256,5376,16384,0.4087,5.0048,0.082,9.01,0.0
tuna,sliding_qkv,wmma_64x64,16,5376,16384,2.9098,0.782,3.721,3.6,0.015625
tuna,sliding_qkv,wmma_64x64,64,5376,16384,0.2878,0.7821,0.368,14.42,0.0
tuna,sliding_qkv,wmma_64x64,256,5376,16384,0.4074,2.5256,0.161,17.86,0.0
tuna,sliding_o,wmma_16x32,16,8192,5376,0.1381,0.1648,0.838,8.55,0.015625
tuna,sliding_o,wmma_16x32,64,8192,5376,0.1411,0.3235,0.436,17.43,0.015625
tuna,sliding_o,wmma_16x32,256,8192,5376,2.7485,5.6025,0.491,4.02,0.03125
tuna,sliding_o,wmma_32x64,16,8192,5376,0.1371,0.1772,0.774,7.95,0.015625
tuna,sliding_o,wmma_32x64,64,8192,5376,0.1401,0.3114,0.45,18.1,0.015625
tuna,sliding_o,wmma_32x64,256,8192,5376,3.6543,1.8686,1.956,12.07,0.03125
tuna,sliding_o,wmma_64x64,16,8192,5376,0.8828,0.3081,2.865,4.57,0.015625
tuna,sliding_o,wmma_64x64,64,8192,5376,0.1389,0.3087,0.45,18.26,0.015625
tuna,sliding_o,wmma_64x64,256,8192,5376,2.8073,1.2286,2.285,18.35,0.03125
tuna,global_q,wmma_16x32,16,5376,16384,2.3948,0.3944,6.071,7.15,0.015625
tuna,global_q,wmma_16x32,64,5376,16384,0.2824,2.9175,0.097,3.86,0.0
tuna,global_q,wmma_16x32,256,5376,16384,0.4088,12.322,0.033,3.66,0.0
tuna,global_q,wmma_32x64,16,5376,16384,3.5865,0.6292,5.7,4.48,0.015625
tuna,global_q,wmma_32x64,64,5376,16384,0.2834,1.2252,0.231,9.2,0.0
tuna,global_q,wmma_32x64,256,5376,16384,0.4084,5.0147,0.081,8.99,0.0
tuna,global_q,wmma_64x64,16,5376,16384,3.5644,0.7829,4.553,3.6,0.015625
tuna,global_q,wmma_64x64,64,5376,16384,0.2826,0.7838,0.36,14.38,0.0
tuna,global_q,wmma_64x64,256,5376,16384,0.408,2.5262,0.162,17.85,0.0
tuna,global_k,wmma_16x32,16,5376,2048,3.6497,0.0722,50.556,4.88,0.015625
tuna,global_k,wmma_16x32,64,5376,2048,5.2397,0.1059,49.498,13.31,0.015625
tuna,global_k,wmma_16x32,256,5376,2048,0.064,0.339,0.189,16.63,0.0
