backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs,cublas_backend,cublas_algo
tuna,lt,default_tensor,ffn_gate_up,wmma_16x32,16,5376,43008,0.6682,1.8952,0.353,3.9,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_16x32,64,5376,43008,0.6907,8.1725,0.085,3.62,0.015625,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_16x32,256,5376,43008,0.8518,33.3012,0.026,3.55,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_32x64,16,5376,43008,0.669,1.586,0.422,4.67,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_32x64,64,5376,43008,0.6911,3.2452,0.213,9.12,0.015625,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_32x64,256,5376,43008,0.8844,13.1577,0.067,9.0,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_64x64,16,5376,43008,0.6676,1.5671,0.426,4.72,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_64x64,64,5376,43008,0.6906,1.5648,0.441,18.91,0.015625,lt,default_tensor
tuna,lt,default_tensor,ffn_gate_up,wmma_64x64,256,5376,43008,0.8572,6.358,0.135,18.62,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,16,21504,5376,0.3428,0.3867,0.886,9.57,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,64,21504,5376,0.3581,2.0512,0.175,7.21,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,256,21504,5376,0.4232,15.7621,0.027,3.76,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,16,21504,5376,0.3431,0.4173,0.822,8.87,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,64,21504,5376,0.3567,1.4727,0.242,10.05,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,256,21504,5376,0.4229,5.8496,0.072,10.12,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,16,21504,5376,0.3428,0.7926,0.432,4.67,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,64,21504,5376,0.3564,0.793,0.449,18.66,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,256,21504,5376,0.4187,3.2019,0.131,18.49,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_16x32,16,5376,16384,0.2701,0.3966,0.681,7.11,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_16x32,64,5376,16384,0.2801,2.909,0.096,3.88,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_16x32,256,5376,16384,0.4086,12.3117,0.033,3.66,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_32x64,16,5376,16384,0.2693,0.6287,0.428,4.48,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_32x64,64,5376,16384,0.2816,1.2254,0.23,9.2,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_32x64,256,5376,16384,0.4055,5.0039,0.081,9.01,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_64x64,16,5376,16384,0.2692,0.7815,0.344,3.61,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_64x64,64,5376,16384,0.2814,0.7805,0.36,14.45,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_qkv,wmma_64x64,256,5376,16384,0.4056,2.5533,0.159,17.66,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,16,8192,5376,0.1352,0.1622,0.834,8.69,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,64,8192,5376,0.1381,0.3196,0.432,17.64,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,256,8192,5376,0.2255,5.56,0.041,4.06,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,16,8192,5376,0.1356,0.1743,0.778,8.08,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,64,8192,5376,0.1386,0.3092,0.448,18.23,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,256,8192,5376,0.2229,1.8697,0.119,12.06,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,16,8192,5376,0.1349,0.3073,0.439,4.59,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,64,8192,5376,0.1379,0.3067,0.45,18.38,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,256,8192,5376,0.2243,1.2211,0.184,18.47,0.03125,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_16x32,16,5376,16384,0.2715,0.394,0.689,7.15,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_16x32,64,5376,16384,0.2791,2.9114,0.096,3.87,0.0,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_16x32,256,5376,16384,0.4047,12.3064,0.033,3.66,0.0,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_32x64,16,5376,16384,0.2696,0.6235,0.432,4.52,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_32x64,64,5376,16384,0.2814,1.2263,0.229,9.19,0.0,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_32x64,256,5376,16384,0.4072,4.9927,0.082,9.03,0.0,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_64x64,16,5376,16384,0.2695,0.7807,0.345,3.61,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_64x64,64,5376,16384,0.2827,0.7802,0.362,14.45,0.0,lt,default_tensor
tuna,lt,default_tensor,global_q,wmma_64x64,256,5376,16384,0.4053,2.5275,0.16,17.84,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,16,5376,2048,0.0429,0.0684,0.628,5.15,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,64,5376,2048,0.0474,0.1023,0.464,13.78,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,256,5376,2048,0.063,0.3362,0.188,16.77,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,16,5376,2048,0.044,0.1023,0.43,3.44,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,64,5376,2048,0.0687,0.1067,0.644,13.2,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,256,5376,2048,0.0639,0.3903,0.164,14.44,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,16,5376,2048,0.0467,0.2008,0.233,1.75,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,64,5376,2048,0.0993,0.2006,0.495,7.02,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,256,5376,2048,0.0636,0.3913,0.163,14.41,0.0,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_16x32,16,16384,5376,0.2577,0.289,0.892,9.75,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_16x32,64,16384,5376,0.2644,0.6164,0.429,18.29,0.03125,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_16x32,256,16384,5376,0.4396,11.6646,0.038,3.87,0.0625,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_32x64,16,16384,5376,0.2588,0.316,0.819,8.92,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_32x64,64,16384,5376,0.2633,0.6093,0.432,18.5,0.03125,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_32x64,256,16384,5376,0.4405,4.3605,0.101,10.34,0.0625,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_64x64,16,16384,5376,0.2594,0.6107,0.425,4.62,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_64x64,64,16384,5376,0.2644,0.6108,0.433,18.46,0.03125,lt,default_tensor
tuna,lt,default_tensor,global_o,wmma_64x64,256,16384,5376,0.4344,2.5024,0.174,18.02,0.0625,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_16x32,16,5376,262144,4.0295,12.5037,0.322,3.61,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_16x32,64,5376,262144,4.1485,50.7283,0.082,3.56,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_16x32,256,5376,262144,5.8982,204.3893,0.029,3.53,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_32x64,16,5376,262144,4.0296,10.0401,0.401,4.49,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_32x64,64,5376,262144,4.1489,20.0156,0.207,9.01,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_32x64,256,5376,262144,5.8125,80.3113,0.072,8.98,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_64x64,16,5376,262144,4.0289,9.7742,0.412,4.61,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_64x64,64,5376,262144,4.1566,9.8502,0.422,18.31,0.0,lt,default_tensor
tuna,lt,default_tensor,final_logits,wmma_64x64,256,5376,262144,5.8178,39.9457,0.146,18.06,0.0,lt,default_tensor
