backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs,cublas_backend,cublas_algo
tuna,lt,default_tensor,ffn_down,wmma_16x16,16,21504,5376,0.3415,0.3858,0.885,9.59,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x16,32,21504,5376,0.3409,0.4194,0.813,17.64,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x16,64,21504,5376,0.3561,1.09,0.327,13.58,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x16,128,21504,5376,0.3775,4.6043,0.082,6.43,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x16,256,21504,5376,0.4146,12.5327,0.033,4.72,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x16,512,21504,5376,0.7723,28.9861,0.027,4.08,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,16,21504,5376,0.341,0.3826,0.891,9.67,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,32,21504,5376,0.3418,0.4196,0.815,17.63,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,64,21504,5376,0.3559,2.0808,0.171,7.11,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,128,21504,5376,0.3767,7.2011,0.052,4.11,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,256,21504,5376,0.4152,15.7249,0.026,3.76,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x32,512,21504,5376,0.7758,33.1703,0.023,3.57,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x64,16,21504,5376,0.3418,0.3836,0.891,9.64,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x64,32,21504,5376,0.3402,0.4151,0.82,17.82,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x64,64,21504,5376,0.3564,0.7759,0.459,19.07,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x64,128,21504,5376,0.3792,5.5563,0.068,5.33,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x64,256,21504,5376,0.4328,14.2061,0.03,4.17,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_16x64,512,21504,5376,0.8117,31.7501,0.026,3.73,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,16,21504,5376,0.3413,0.4133,0.826,8.95,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,32,21504,5376,0.3403,0.4138,0.822,17.88,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,64,21504,5376,0.3552,1.4463,0.246,10.23,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,128,21504,5376,0.3787,2.1608,0.175,13.7,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,256,21504,5376,0.4238,5.7585,0.074,10.28,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_32x64,512,21504,5376,0.79,15.5197,0.051,7.63,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,16,21504,5376,0.3419,0.7933,0.431,4.66,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,32,21504,5376,0.3419,0.7949,0.43,9.31,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,64,21504,5376,0.3571,0.7912,0.451,18.7,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,128,21504,5376,0.3811,1.7032,0.224,17.38,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,256,21504,5376,0.433,3.5221,0.123,16.81,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,wmma_64x64,512,21504,5376,0.8139,7.0264,0.116,16.85,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x64,16,21504,5376,0.3424,2.4322,0.141,1.52,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x64,32,21504,5376,0.3404,2.4017,0.142,3.08,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x64,64,21504,5376,0.3556,2.3514,0.151,6.29,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x64,128,21504,5376,0.3772,2.4699,0.153,11.98,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x64,256,21504,5376,0.4214,5.0096,0.084,11.82,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x64,512,21504,5376,0.7958,11.4837,0.069,10.31,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x128,16,21504,5376,0.3415,2.1358,0.16,1.73,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x128,32,21504,5376,0.3421,2.0982,0.163,3.53,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x128,64,21504,5376,0.3564,2.1644,0.165,6.84,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x128,128,21504,5376,0.38,2.4221,0.157,12.22,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x128,256,21504,5376,0.435,5.4462,0.08,10.87,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_16x128,512,21504,5376,0.8162,15.4444,0.053,7.66,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x64,16,21504,5376,0.3416,2.2458,0.152,1.65,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x64,32,21504,5376,0.3416,2.2117,0.154,3.35,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x64,64,21504,5376,0.3554,2.1724,0.164,6.81,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x64,128,21504,5376,0.3776,2.1473,0.176,13.78,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x64,256,21504,5376,0.4223,4.3469,0.097,13.62,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x64,512,21504,5376,0.7946,8.9671,0.089,13.2,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,16,21504,5376,0.3413,1.9806,0.172,1.87,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,32,21504,5376,0.3402,1.9731,0.172,3.75,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,64,21504,5376,0.3548,1.844,0.192,8.02,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,128,21504,5376,0.3769,1.9487,0.193,15.19,0.0625,lt,default_tensor
