backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
tuna,ffn_down,wmma_16x16,16,21504,5376,6.2742,0.3863,16.241,9.58,0.03125
tuna,ffn_down,wmma_16x16,32,21504,5376,6.3268,0.4226,14.972,17.51,0.03125
tuna,ffn_down,wmma_16x16,64,21504,5376,8.2793,1.0397,7.963,14.23,0.03125
tuna,ffn_down,wmma_16x16,128,21504,5376,5.554,4.7018,1.181,6.29,0.0625
tuna,ffn_down,wmma_16x16,256,21504,5376,5.6216,12.7001,0.443,4.66,0.03125
tuna,ffn_down,wmma_16x16,512,21504,5376,0.7692,28.9706,0.027,4.09,0.0
tuna,ffn_down,wmma_16x32,16,21504,5376,3.1966,0.3851,8.3,9.61,0.03125
tuna,ffn_down,wmma_16x32,32,21504,5376,2.3408,0.42,5.574,17.62,0.03125
tuna,ffn_down,wmma_16x32,64,21504,5376,3.5274,2.0246,1.742,7.31,0.03125
tuna,ffn_down,wmma_16x32,128,21504,5376,2.7549,7.2224,0.381,4.1,0.0625
tuna,ffn_down,wmma_16x32,256,21504,5376,5.1296,15.8046,0.325,3.75,0.03125
tuna,ffn_down,wmma_16x32,512,21504,5376,0.7728,33.1349,0.023,3.57,0.0
tuna,ffn_down,wmma_16x64,16,21504,5376,2.0002,0.385,5.195,9.61,0.03125
tuna,ffn_down,wmma_16x64,32,21504,5376,1.8609,0.4171,4.462,17.74,0.03125
tuna,ffn_down,wmma_16x64,64,21504,5376,2.1951,0.7768,2.826,19.05,0.03125
tuna,ffn_down,wmma_16x64,128,21504,5376,1.9052,5.6073,0.34,5.28,0.0625
tuna,ffn_down,wmma_16x64,256,21504,5376,1.7446,14.1393,0.123,4.19,0.03125
tuna,ffn_down,wmma_16x64,512,21504,5376,0.8104,31.7281,0.026,3.73,0.0
tuna,ffn_down,wmma_32x64,16,21504,5376,3.4244,0.4143,8.266,8.93,0.03125
tuna,ffn_down,wmma_32x64,32,21504,5376,2.2807,0.4148,5.498,17.84,0.03125
tuna,ffn_down,wmma_32x64,64,21504,5376,6.6858,1.4502,4.61,10.2,0.03125
tuna,ffn_down,wmma_32x64,128,21504,5376,3.5453,2.1394,1.657,13.83,0.0625
tuna,ffn_down,wmma_32x64,256,21504,5376,2.8206,5.7875,0.487,10.23,0.03125
tuna,ffn_down,wmma_32x64,512,21504,5376,0.7737,15.9537,0.048,7.42,0.0
tuna,ffn_down,wmma_64x64,16,21504,5376,1.9206,0.7969,2.41,4.64,0.03125
tuna,ffn_down,wmma_64x64,32,21504,5376,1.5815,0.793,1.994,9.33,0.03125
tuna,ffn_down,wmma_64x64,64,21504,5376,2.2709,0.7938,2.861,18.64,0.03125
tuna,ffn_down,wmma_64x64,128,21504,5376,1.4924,1.6642,0.897,17.78,0.0625
tuna,ffn_down,wmma_64x64,256,21504,5376,2.0411,3.2316,0.632,18.32,0.03125
tuna,ffn_down,wmma_64x64,512,21504,5376,0.8136,6.9673,0.117,16.99,0.0
tuna,ffn_down,smem_16x64,16,21504,5376,2.211,2.4343,0.908,1.52,0.03125
tuna,ffn_down,smem_16x64,32,21504,5376,1.6793,2.4308,0.691,3.04,0.03125
tuna,ffn_down,smem_16x64,64,21504,5376,2.407,2.3665,1.017,6.25,0.03125
tuna,ffn_down,smem_16x64,128,21504,5376,1.6956,2.4496,0.692,12.08,0.0625
tuna,ffn_down,smem_16x64,256,21504,5376,1.8293,4.9722,0.368,11.9,0.03125
tuna,ffn_down,smem_16x64,512,21504,5376,0.7927,11.4961,0.069,10.3,0.0
tuna,ffn_down,smem_16x128,16,21504,5376,3.0062,2.1387,1.406,1.73,0.03125
tuna,ffn_down,smem_16x128,32,21504,5376,2.6632,2.1018,1.267,3.52,0.03125
tuna,ffn_down,smem_16x128,64,21504,5376,3.1878,2.1627,1.474,6.84,0.03125
tuna,ffn_down,smem_16x128,128,21504,5376,2.709,2.2637,1.197,13.07,0.0625
tuna,ffn_down,smem_16x128,256,21504,5376,6.4541,5.2683,1.225,11.24,0.03125
tuna,ffn_down,smem_16x128,512,21504,5376,0.7707,13.8308,0.056,8.56,0.0
tuna,ffn_down,smem_32x64,16,21504,5376,1.9026,2.2484,0.846,1.65,0.03125
tuna,ffn_down,smem_32x64,32,21504,5376,1.6678,2.249,0.742,3.29,0.03125
tuna,ffn_down,smem_32x64,64,21504,5376,2.0746,2.2325,0.929,6.63,0.03125
tuna,ffn_down,smem_32x64,128,21504,5376,2.0738,2.1864,0.948,13.54,0.0625
tuna,ffn_down,smem_32x64,256,21504,5376,1.625,4.3027,0.378,13.76,0.03125
tuna,ffn_down,smem_32x64,512,21504,5376,0.7931,8.9849,0.088,13.18,0.0
tuna,ffn_down,smem_32x128,16,21504,5376,1.9573,1.9821,0.987,1.87,0.03125
tuna,ffn_down,smem_32x128,32,21504,5376,1.7702,1.9816,0.893,3.73,0.03125
tuna,ffn_down,smem_32x128,64,21504,5376,2.6288,1.9063,1.379,7.76,0.03125
tuna,ffn_down,smem_32x128,128,21504,5376,1.2456,1.8937,0.658,15.63,0.0625
tuna,ffn_down,smem_32x128,256,21504,5376,1.8918,4.5414,0.417,13.03,0.03125
tuna,ffn_down,smem_32x128,512,21504,5376,0.8115,12.8404,0.063,9.22,0.0
tuna,ffn_down,smem_64x64,16,21504,5376,1.7572,2.663,0.66,1.39,0.03125
tuna,ffn_down,smem_64x64,32,21504,5376,1.3795,2.664,0.518,2.78,0.03125
tuna,ffn_down,smem_64x64,64,21504,5376,2.3321,2.6637,0.875,5.56,0.03125
tuna,ffn_down,smem_64x64,128,21504,5376,1.5908,2.6818,0.593,11.04,0.0625
tuna,ffn_down,smem_64x64,256,21504,5376,1.8439,5.2869,0.349,11.2,0.03125
tuna,ffn_down,smem_64x64,512,21504,5376,0.7932,8.0729,0.098,14.66,0.0
tuna,global_k,wmma_16x16,16,5376,2048,1.4249,0.0709,20.096,4.97,0.015625
tuna,global_k,wmma_16x16,32,5376,2048,1.9064,0.0727,26.205,9.69,0.015625
tuna,global_k,wmma_16x16,64,5376,2048,1.9046,0.0921,20.689,15.31,0.015625
tuna,global_k,wmma_16x16,128,5376,2048,0.0467,0.1628,0.287,17.31,0.0078125
tuna,global_k,wmma_16x16,256,5376,2048,0.066,0.3395,0.195,16.61,0.0
tuna,global_k,wmma_16x16,512,5376,2048,2.3106,0.6527,3.54,17.27,0.015625
tuna,global_k,wmma_16x32,16,5376,2048,5.6111,0.0703,79.808,5.01,0.015625
tuna,global_k,wmma_16x32,32,5376,2048,6.0751,0.0714,85.103,9.87,0.015625
tuna,global_k,wmma_16x32,64,5376,2048,3.5911,0.1025,35.02,13.74,0.015625
tuna,global_k,wmma_16x32,128,5376,2048,0.0484,0.1758,0.275,16.03,0.0078125
tuna,global_k,wmma_16x32,256,5376,2048,0.0647,0.3322,0.195,16.97,0.0
tuna,global_k,wmma_16x32,512,5376,2048,2.799,0.924,3.029,12.2,0.015625
tuna,global_k,wmma_16x64,16,5376,2048,1.6428,0.0717,22.909,4.91,0.015625
tuna,global_k,wmma_16x64,32,5376,2048,2.4749,0.0721,34.323,9.77,0.015625
tuna,global_k,wmma_16x64,64,5376,2048,2.2022,0.1023,21.522,13.77,0.015625
tuna,global_k,wmma_16x64,128,5376,2048,0.0468,0.1972,0.237,14.29,0.0078125
tuna,global_k,wmma_16x64,256,5376,2048,0.2396,0.3458,0.693,16.3,0.0
tuna,global_k,wmma_16x64,512,5376,2048,1.8441,0.6464,2.853,17.44,0.015625
tuna,global_k,wmma_32x64,16,5376,2048,1.6348,0.1012,16.156,3.48,0.015625
tuna,global_k,wmma_32x64,32,5376,2048,1.8647,0.1016,18.361,6.94,0.015625
tuna,global_k,wmma_32x64,64,5376,2048,1.82,0.1076,16.911,13.09,0.015625
tuna,global_k,wmma_32x64,128,5376,2048,0.0474,0.1996,0.238,14.12,0.0078125
tuna,global_k,wmma_32x64,256,5376,2048,0.065,0.3895,0.167,14.47,0.0
tuna,global_k,wmma_32x64,512,5376,2048,2.0351,0.6837,2.977,16.49,0.015625
tuna,global_k,wmma_64x64,16,5376,2048,1.8037,0.2019,8.932,1.74,0.015625
tuna,global_k,wmma_64x64,32,5376,2048,2.8298,0.2005,14.115,3.51,0.015625
tuna,global_k,wmma_64x64,64,5376,2048,2.4372,0.2008,12.138,7.02,0.015625
tuna,global_k,wmma_64x64,128,5376,2048,0.0466,0.2,0.233,14.09,0.0078125
tuna,global_k,wmma_64x64,256,5376,2048,0.0649,0.3923,0.165,14.37,0.0
tuna,global_k,wmma_64x64,512,5376,2048,1.6066,0.7768,2.068,14.51,0.015625
tuna,global_k,smem_16x64,16,5376,2048,1.7108,0.5664,3.02,0.62,0.015625
tuna,global_k,smem_16x64,32,5376,2048,1.7223,0.5589,3.082,1.26,0.015625
tuna,global_k,smem_16x64,64,5376,2048,1.9632,0.5551,3.536,2.54,0.015625
tuna,global_k,smem_16x64,128,5376,2048,0.0467,0.5625,0.083,5.01,0.0078125
tuna,global_k,smem_16x64,256,5376,2048,0.0648,0.5845,0.111,9.64,0.0
tuna,global_k,smem_16x64,512,5376,2048,1.647,1.188,1.386,9.49,0.015625
tuna,global_k,smem_16x128,16,5376,2048,1.7084,0.5022,3.402,0.7,0.015625
tuna,global_k,smem_16x128,32,5376,2048,2.012,0.4949,4.066,1.42,0.015625
tuna,global_k,smem_16x128,64,5376,2048,2.0807,0.4945,4.207,2.85,0.015625
tuna,global_k,smem_16x128,128,5376,2048,0.0476,0.4914,0.097,5.74,0.0078125
