backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
tuna,global_k,wmma_16x32,16,5376,2048,1.86,0.0697,26.694,5.06,0.015625
tuna,global_k,wmma_16x32,64,5376,2048,2.2842,0.1028,22.218,13.71,0.015625
tuna,global_k,wmma_16x32,256,5376,2048,0.0639,0.334,0.191,16.88,0.0
tuna,global_k,wmma_16x64,16,5376,2048,5.7426,0.084,68.352,4.19,0.015625
tuna,global_k,wmma_16x64,64,5376,2048,3.109,0.1022,30.413,13.79,0.015625
tuna,global_k,wmma_16x64,256,5376,2048,0.064,0.3437,0.186,16.4,0.0
tuna,global_k,wmma_32x64,16,5376,2048,7.37,0.1024,71.991,3.44,0.015625
tuna,global_k,wmma_32x64,64,5376,2048,10.1574,0.1075,94.521,13.11,0.015625
tuna,global_k,wmma_32x64,256,5376,2048,0.0635,0.3917,0.162,14.39,0.0
tuna,global_k,wmma_64x64,16,5376,2048,1.9576,0.2022,9.679,1.74,0.015625
tuna,global_k,wmma_64x64,64,5376,2048,2.717,0.2012,13.506,7.01,0.015625
tuna,global_k,wmma_64x64,256,5376,2048,0.0638,0.3904,0.163,14.44,0.0
tuna,sliding_qkv,wmma_16x32,16,5376,16384,2.1446,0.3965,5.409,7.11,0.015625
tuna,sliding_qkv,wmma_16x32,64,5376,16384,0.2785,2.9133,0.096,3.87,0.0
tuna,sliding_qkv,wmma_16x32,256,5376,16384,0.4066,12.3074,0.033,3.66,0.0
tuna,sliding_qkv,wmma_16x64,16,5376,16384,1.2494,0.4131,3.024,6.82,0.015625
tuna,sliding_qkv,wmma_16x64,64,5376,16384,0.278,2.9476,0.094,3.82,0.0
tuna,sliding_qkv,wmma_16x64,256,5376,16384,0.4071,12.4788,0.033,3.61,0.0
tuna,sliding_qkv,wmma_32x64,16,5376,16384,4.5584,0.6253,7.29,4.51,0.015625
tuna,sliding_qkv,wmma_32x64,64,5376,16384,0.2793,1.2335,0.226,9.14,0.0
tuna,sliding_qkv,wmma_32x64,256,5376,16384,0.4067,5.0085,0.081,9.0,0.0
tuna,sliding_qkv,wmma_64x64,16,5376,16384,1.7666,0.7805,2.263,3.61,0.015625
tuna,sliding_qkv,wmma_64x64,64,5376,16384,0.2807,0.7802,0.36,14.45,0.0
tuna,sliding_qkv,wmma_64x64,256,5376,16384,0.4082,2.5254,0.162,17.86,0.0
tuna,ffn_gate_up,wmma_16x32,16,5376,43008,0.6694,1.8992,0.352,3.9,0.0
tuna,ffn_gate_up,wmma_16x32,64,5376,43008,0.6911,8.1532,0.085,3.63,0.015625
tuna,ffn_gate_up,wmma_16x32,256,5376,43008,0.8187,33.2588,0.025,3.56,0.0
tuna,ffn_gate_up,wmma_16x64,16,5376,43008,0.6683,1.914,0.349,3.87,0.0
tuna,ffn_gate_up,wmma_16x64,64,5376,43008,0.6902,8.2792,0.083,3.57,0.015625
tuna,ffn_gate_up,wmma_16x64,256,5376,43008,0.8425,33.7564,0.025,3.51,0.0
tuna,ffn_gate_up,wmma_32x64,16,5376,43008,0.6681,1.582,0.422,4.68,0.0
tuna,ffn_gate_up,wmma_32x64,64,5376,43008,0.6905,3.2611,0.212,9.08,0.015625
tuna,ffn_gate_up,wmma_32x64,256,5376,43008,0.8417,13.1085,0.064,9.03,0.0
tuna,ffn_gate_up,wmma_64x64,16,5376,43008,0.6686,1.5637,0.428,4.73,0.0
tuna,ffn_gate_up,wmma_64x64,64,5376,43008,0.6908,1.564,0.442,18.92,0.015625
tuna,ffn_gate_up,wmma_64x64,256,5376,43008,0.8342,6.2888,0.133,18.82,0.0
