backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
tuna,global_k,wmma_16x16,256,5376,2048,0.0613,0.3363,0.182,16.76,0.0
tuna,global_k,wmma_16x16,512,5376,2048,1.3799,0.6579,2.098,17.14,0.015625
tuna,global_k,wmma_16x32,256,5376,2048,0.0611,0.3324,0.184,16.96,0.0
tuna,global_k,wmma_16x32,512,5376,2048,5.749,0.9185,6.259,12.27,0.015625
tuna,global_k,wmma_16x64,256,5376,2048,0.0612,0.3424,0.179,16.47,0.0
tuna,global_k,wmma_16x64,512,5376,2048,6.0352,0.6505,9.278,17.33,0.015625
tuna,global_k,wmma_32x64,256,5376,2048,0.0614,0.3883,0.158,14.52,0.0
tuna,global_k,wmma_32x64,512,5376,2048,1.4889,0.6894,2.16,16.35,0.015625
tuna,global_k,wmma_64x64,256,5376,2048,0.0613,0.3886,0.158,14.51,0.0
tuna,global_k,wmma_64x64,512,5376,2048,1.3369,0.7722,1.731,14.6,0.015625
tuna,sliding_o,wmma_16x16,256,8192,5376,2.4686,4.1509,0.595,5.43,0.03125
tuna,sliding_o,wmma_16x16,512,8192,5376,0.3168,10.3465,0.031,4.36,0.0
tuna,sliding_o,wmma_16x32,256,8192,5376,2.5599,5.5134,0.464,4.09,0.03125
tuna,sliding_o,wmma_16x32,512,8192,5376,0.3042,12.0391,0.025,3.75,0.0
tuna,sliding_o,wmma_16x64,256,8192,5376,1.2734,4.9237,0.259,4.58,0.03125
tuna,sliding_o,wmma_16x64,512,8192,5376,0.3329,11.5132,0.029,3.92,0.0
tuna,sliding_o,wmma_32x64,256,8192,5376,1.2867,1.8659,0.69,12.08,0.03125
tuna,sliding_o,wmma_32x64,512,8192,5376,0.3074,4.8533,0.063,9.29,0.0
tuna,sliding_o,wmma_64x64,256,8192,5376,1.3559,1.2467,1.088,18.09,0.03125
tuna,sliding_o,wmma_64x64,512,8192,5376,0.3142,2.5324,0.124,17.81,0.0
