device=NVIDIA RTX A6000
iters=100,warmup=20,trials=7,max_rows=1024
threads=256,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.009900,0.014169,2172.2,13.0
2,0.013817,0.015822,3112.6,18.7
4,0.014386,0.019575,5979.2,35.9
8,0.014224,0.014649,12094.2,72.6
16,0.013484,0.013788,25516.8,153.1
32,0.005154,0.011108,133507.2,801.0
64,0.013964,0.028945,98560.8,591.4
128,0.026220,0.026258,104976.9,629.9
256,0.050127,0.050147,109821.4,658.9
512,0.097540,0.105817,112877.1,677.3
1024,0.191791,0.192064,114812.8,688.9
