device=NVIDIA RTX A6000
iters=120,warmup=25,trials=7,max_rows=1024
threads=256,elements_per_thread=2
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.007835,0.009576,2744.4,16.5
2,0.008564,0.013314,5022.1,30.1
4,0.009783,0.011497,8792.2,52.8
8,0.010286,0.011200,16725.5,100.4
16,0.007304,0.008378,47104.5,282.6
32,0.007266,0.009447,94703.5,568.2
64,0.013623,0.013669,101024.9,606.1
128,0.026093,0.026236,105488.3,632.9
256,0.049699,0.049708,110766.9,664.6
512,0.096593,0.096703,113983.8,683.9
1024,0.190798,0.190912,115410.4,692.5
