device=NVIDIA RTX A6000
iters=120,warmup=25,trials=7,max_rows=1024
threads=128,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.009038,0.011309,2379.4,14.3
2,0.008749,0.012996,4915.9,29.5
4,0.013828,0.015813,6220.4,37.3
8,0.011169,0.014035,15403.3,92.4
16,0.010450,0.011052,32925.2,197.6
32,0.009049,0.012997,76041.9,456.3
64,0.013870,0.014566,99224.4,595.3
128,0.026185,0.026903,105118.7,630.7
256,0.049871,0.050984,110386.0,662.3
512,0.097253,0.097286,113210.0,679.3
1024,0.191296,0.191380,115110.2,690.7
