device=NVIDIA RTX A6000
iters=120,warmup=25,trials=7,max_rows=1024
threads=256,elements_per_thread=2
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.010021,0.013243,2145.9,12.9
2,0.007827,0.010934,5494.9,33.0
4,0.007114,0.008550,12090.4,72.5
8,0.006734,0.009875,25545.3,153.3
16,0.008294,0.012502,41482.8,248.9
32,0.007852,0.013162,87640.3,525.8
64,0.013707,0.014035,100407.8,602.4
128,0.026132,0.026525,105332.2,632.0
256,0.049682,0.049735,110806.1,664.8
512,0.096880,0.096918,113646.2,681.9
1024,0.190857,0.190919,115375.1,692.3
