device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=256,elements_per_thread=4
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.009617,0.009992,2236.0,13.4
2,0.009810,0.010418,4384.3,26.3
4,0.009674,0.012378,8891.1,53.3
8,0.010878,0.013070,15815.3,94.9
16,0.011487,0.011871,29953.0,179.7
32,0.011928,0.012533,57692.1,346.2
64,0.013878,0.015442,99165.3,595.0
128,0.026620,0.026700,103398.6,620.4
256,0.050024,0.050054,110047.7,660.3
512,0.097381,0.097414,113061.3,678.4
1024,0.192102,0.192209,114626.9,687.8
