device=NVIDIA RTX A6000
iters=20,warmup=5,trials=5,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.672523,0.672978,0.69
down,1,0.329810,0.330123,0.70
gate_up,2,0.673176,0.673414,1.37
down,2,0.330243,0.330404,1.40
gate_up,4,0.671614,0.672261,2.75
down,4,0.330021,0.330460,2.80
gate_up,8,0.672376,0.673013,5.50
down,8,0.330242,0.330545,5.60
gate_up,16,0.674363,0.674758,10.97
down,16,0.330488,0.330735,11.19
gate_up,32,0.678002,0.678980,21.83
down,32,0.331699,0.332153,22.31
gate_up,64,0.684366,0.686310,43.24
down,64,0.334317,0.334508,44.26
gate_up,128,0.699397,0.701761,84.63
down,128,0.342307,0.345946,86.46
gate_up,256,0.911805,0.956203,129.83
down,256,0.509021,0.521059,116.28
gate_up,512,1.982141,2.025631,119.45
down,512,0.948749,0.982028,124.77
gate_up,1024,3.896018,3.919778,121.54
down,1024,1.878430,1.889115,126.04
