device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.674170,0.674579,0.69
down,1,0.330998,0.331175,0.70
gate_up,2,0.673955,0.674689,1.37
down,2,0.331075,0.331358,1.40
gate_up,4,0.675011,0.675187,2.74
down,4,0.330819,0.331077,2.80
gate_up,8,0.675866,0.675919,5.47
down,8,0.331565,0.331995,5.58
gate_up,16,0.677277,0.677767,10.92
down,16,0.331680,0.331772,11.15
gate_up,32,0.679469,0.679837,21.78
down,32,0.332784,0.332911,22.23
gate_up,64,0.686630,0.687518,43.10
down,64,0.335171,0.335537,44.15
gate_up,128,0.702051,0.703022,84.31
down,128,0.345923,0.348778,85.55
gate_up,256,0.931894,0.935257,127.03
down,256,0.501699,0.532140,117.98
gate_up,512,2.027930,2.042798,116.75
down,512,0.991283,1.004636,119.42
gate_up,1024,3.886269,4.015404,121.84
down,1024,1.911482,1.951313,123.86
