device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.673869,0.674088,0.69
down,1,0.330915,0.331429,0.70
gate_up,2,0.674125,0.674274,1.37
down,2,0.330458,0.330669,1.40
gate_up,4,0.674438,0.674623,2.74
down,4,0.331248,0.331356,2.79
gate_up,8,0.675738,0.675844,5.47
down,8,0.331299,0.331485,5.58
gate_up,16,0.677456,0.677611,10.92
down,16,0.331571,0.332259,11.16
gate_up,32,0.681066,0.681197,21.73
down,32,0.332602,0.332748,22.25
gate_up,64,0.686320,0.686491,43.12
down,64,0.335050,0.335135,44.17
gate_up,128,0.700550,0.701552,84.49
down,128,0.346298,0.346964,85.46
gate_up,256,0.903408,0.906124,131.04
down,256,0.467440,0.492351,126.63
gate_up,512,1.970880,1.986858,120.13
down,512,0.964931,0.975203,122.68
gate_up,1024,3.903641,3.945850,121.30
down,1024,1.907782,1.917621,124.10
