device=NVIDIA RTX A6000
iters=15,warmup=5,trials=5,max_rows=1024
gate_up_small_max_rows=64,gate_up_small_tb=64x128x64,gate_up_small_warp=32x64,gate_up_small_stages=3
gate_up_large_tb=128x128x64,gate_up_large_warp=64x64,gate_up_large_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.660574,0.660756,0.70
down,1,0.330658,0.331343,0.70
gate_up,2,0.660382,0.661028,1.40
down,2,0.330383,0.330785,1.40
gate_up,4,0.661310,0.661490,2.80
down,4,0.330199,0.330331,2.80
gate_up,8,0.661579,0.661740,5.59
down,8,0.330560,0.330740,5.60
gate_up,16,0.663332,0.663515,11.15
down,16,0.330650,0.330876,11.19
gate_up,32,0.667168,0.667633,22.18
down,32,0.331834,0.332159,22.30
gate_up,64,0.673161,0.673821,43.96
down,64,0.334438,0.334703,44.25
gate_up,128,0.699755,0.701814,84.59
down,128,0.347228,0.349974,85.23
gate_up,256,0.917677,1.021061,129.00
down,256,0.530108,0.534560,111.66
gate_up,512,1.944811,2.001778,121.74
down,512,1.004446,1.016323,117.86
gate_up,1024,4.002347,4.104525,118.31
down,1024,1.965327,1.966121,120.47
