device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x256x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x256x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.673430,0.674045,0.69
down,1,0.013808,0.014146,16.74
gate_up,2,0.674592,0.674879,1.37
down,2,0.010006,0.011286,46.21
gate_up,4,0.674192,0.674614,2.74
down,4,0.011245,0.018649,82.25
gate_up,8,0.675542,0.675964,5.48
down,8,0.009270,0.037118,199.53
gate_up,16,0.676973,0.677376,10.93
down,16,0.012691,0.021314,291.49
gate_up,32,0.680938,0.681024,21.73
down,32,0.010803,0.011269,684.87
gate_up,64,0.685328,0.685982,43.18
down,64,0.014131,0.018279,1047.15
gate_up,128,0.698406,0.699578,84.75
down,128,0.010298,0.013823,2873.97
gate_up,256,0.870966,0.882047,135.92
down,256,0.011338,0.013055,5220.68
gate_up,512,1.829168,1.921764,129.44
down,512,0.009488,0.010393,12476.82
gate_up,1024,3.841978,3.890152,123.25
down,1024,0.011952,0.014518,19809.24
