device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=32x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.672973,0.674117,0.69
down,1,0.330349,0.330691,0.70
gate_up,2,0.673725,0.673799,1.37
down,2,0.330826,0.330911,1.40
gate_up,4,0.674160,0.674351,2.74
down,4,0.330925,0.331081,2.79
gate_up,8,0.675466,0.675793,5.48
down,8,0.330979,0.331263,5.59
gate_up,16,0.675078,0.675466,10.96
down,16,0.330960,0.331343,11.18
gate_up,32,0.678915,0.679238,21.80
down,32,0.332605,0.332681,22.24
gate_up,64,0.685584,0.685874,43.17
down,64,0.334963,0.335612,44.18
gate_up,128,0.700682,0.701374,84.47
down,128,0.523101,0.523421,56.58
gate_up,256,0.887133,0.910929,133.44
down,256,0.518835,0.526978,114.08
gate_up,512,1.938733,1.968465,122.12
down,512,0.968298,0.971047,122.26
gate_up,1024,3.847219,3.876845,123.08
down,1024,1.881952,1.893277,125.81
