device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=32x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.673888,0.674023,0.69
down,1,0.331328,0.331477,0.70
gate_up,2,0.673354,0.674102,1.37
down,2,0.330538,0.330855,1.40
gate_up,4,0.674461,0.674670,2.74
down,4,0.330733,0.331189,2.80
gate_up,8,0.673165,0.673866,5.50
down,8,0.330787,0.331680,5.59
gate_up,16,0.675606,0.675772,10.95
down,16,0.331344,0.332179,11.16
gate_up,32,0.679146,0.679689,21.79
down,32,0.332579,0.333015,22.25
gate_up,64,0.686493,0.686788,43.11
down,64,0.335600,0.335711,44.09
gate_up,128,0.699181,0.701125,84.66
down,128,0.531734,0.537110,55.66
gate_up,256,0.901405,0.931825,131.33
down,256,0.522854,0.538742,113.21
gate_up,512,1.944474,1.990225,121.76
down,512,0.994928,0.998426,118.98
gate_up,1024,3.912038,3.966448,121.04
down,1024,1.936349,1.941628,122.27
