device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=64,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.673680,0.674101,0.69
down,1,0.330957,0.331215,0.70
gate_up,2,0.673776,0.674388,1.37
down,2,0.330486,0.330585,1.40
gate_up,4,0.674282,0.674594,2.74
down,4,0.330922,0.330982,2.79
gate_up,8,0.673341,0.673718,5.49
down,8,0.330720,0.330941,5.59
gate_up,16,0.675005,0.675459,10.96
down,16,0.331136,0.331265,11.17
gate_up,32,0.678595,0.678663,21.81
down,32,0.332310,0.332329,22.26
gate_up,64,0.685978,0.686179,43.14
down,64,0.334858,0.334913,44.19
gate_up,128,0.700166,0.700736,84.54
down,128,0.396154,0.400970,74.71
gate_up,256,0.888067,0.917488,133.30
down,256,0.523597,0.526954,113.05
gate_up,512,1.916237,1.954747,123.55
down,512,0.965005,0.981663,122.67
gate_up,1024,3.860019,3.873362,122.67
down,1024,1.873520,1.890039,126.37
