device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=128x128x64,gate_up_warp=64x64,gate_up_stages=3
down_small_max_rows=64,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.673517,0.673988,0.69
down,1,0.331251,0.331532,0.70
gate_up,2,0.673818,0.674367,1.37
down,2,0.330851,0.331136,1.40
gate_up,4,0.674605,0.674862,2.74
down,4,0.331187,0.401391,2.79
gate_up,8,0.673136,0.674041,5.50
down,8,0.330816,0.330911,5.59
gate_up,16,0.674650,0.675167,10.97
down,16,0.331098,0.331276,11.17
gate_up,32,0.679158,0.679316,21.79
down,32,0.332499,0.332684,22.25
gate_up,64,0.685590,0.685871,43.17
down,64,0.334794,0.334930,44.20
gate_up,128,0.699568,0.701193,84.61
down,128,0.402403,0.402780,73.55
gate_up,256,0.879005,0.910015,134.68
down,256,0.514157,0.517708,115.12
gate_up,512,1.883590,1.931889,125.70
down,512,0.919878,0.943106,128.69
gate_up,1024,3.788701,3.859929,124.98
down,1024,1.883130,1.896952,125.73
