device=NVIDIA RTX A6000
iters=20,warmup=5,trials=5,max_rows=1024
gate_up_small_max_rows=64,gate_up_small_tb=64x128x64,gate_up_small_warp=32x64,gate_up_small_stages=3
gate_up_large_tb=128x128x64,gate_up_large_warp=64x64,gate_up_large_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.659925,0.660172,0.70
down,1,0.330101,0.330293,0.70
gate_up,2,0.659674,0.660348,1.40
down,2,0.329579,0.329846,1.40
gate_up,4,0.660238,0.660428,2.80
down,4,0.329874,0.330284,2.80
gate_up,8,0.661405,0.661668,5.59
down,8,0.330229,0.330385,5.60
gate_up,16,0.663174,0.663348,11.16
down,16,0.330448,0.330927,11.20
gate_up,32,0.667141,0.667424,22.18
down,32,0.331765,0.332388,22.30
gate_up,64,0.673502,0.674074,43.94
down,64,0.334229,0.477393,44.27
gate_up,128,0.699211,0.702434,84.65
down,128,0.364264,0.368083,81.25
gate_up,256,0.941021,1.022388,125.80
down,256,0.534635,0.538733,110.71
gate_up,512,1.998490,2.029001,118.47
down,512,1.004994,1.015218,117.79
gate_up,1024,4.033488,4.076459,117.40
down,1024,1.957738,1.968224,120.94
