device=NVIDIA RTX A6000
iters=20,warmup=5,trials=5,max_rows=1024
gate_up_small_max_rows=64,gate_up_small_tb=64x128x64,gate_up_small_warp=32x64,gate_up_small_stages=3
gate_up_large_tb=128x128x64,gate_up_large_warp=64x64,gate_up_large_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.660234,0.660600,0.70
down,1,0.330370,0.330913,0.70
gate_up,2,0.660563,0.660721,1.40
down,2,0.330139,0.330383,1.40
gate_up,4,0.660458,0.660745,2.80
down,4,0.330042,0.330384,2.80
gate_up,8,0.661698,0.661863,5.59
down,8,0.330157,0.330341,5.60
gate_up,16,0.663378,0.663624,11.15
down,16,0.330662,0.330766,11.19
gate_up,32,0.666763,0.667110,22.19
down,32,0.331766,0.331941,22.30
gate_up,64,0.673494,0.673960,43.94
down,64,0.334648,0.334856,44.22
gate_up,128,0.701421,0.702929,84.39
down,128,0.361661,0.362586,81.83
gate_up,256,0.947090,1.022650,124.99
down,256,0.547422,0.551449,108.12
gate_up,512,2.023190,2.106193,117.02
down,512,1.016904,1.029852,116.41
gate_up,1024,4.063777,4.068202,116.52
down,1024,1.972840,1.982718,120.01
