device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=32x128x64,gate_up_warp=32x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.660086,0.660332,0.70
down,1,0.331533,0.331843,0.70
gate_up,2,0.660422,0.660644,1.40
down,2,0.331078,0.331330,1.40
gate_up,4,0.660950,0.661100,2.80
down,4,0.330742,0.331023,2.80
gate_up,8,0.662285,0.662401,5.59
down,8,0.330765,0.330949,5.59
gate_up,16,0.663360,0.663468,11.15
down,16,0.331219,0.332564,11.17
gate_up,32,0.666970,0.667579,22.19
down,32,0.332221,0.332650,22.27
gate_up,64,0.694906,0.695040,42.59
down,64,0.335034,0.335189,44.17
gate_up,128,0.978550,0.978949,60.49
down,128,0.340781,0.346615,86.84
gate_up,256,2.039763,2.057735,58.04
down,256,0.476029,0.481310,124.34
gate_up,512,4.217517,4.267163,56.14
down,512,0.872442,0.880127,135.69
gate_up,1024,8.613648,8.694839,54.97
down,1024,1.795456,1.972492,131.87
