device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=64x128x64,gate_up_warp=32x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.660656,0.660939,0.70
down,1,0.330813,0.331201,0.70
gate_up,2,0.660979,0.661446,1.40
down,2,0.330710,0.331074,1.40
gate_up,4,0.661686,0.662127,2.80
down,4,0.330998,0.331230,2.79
gate_up,8,0.662326,0.662729,5.59
down,8,0.331437,0.333380,5.58
gate_up,16,0.664080,0.664231,11.14
down,16,0.331142,0.331501,11.17
gate_up,32,0.667574,0.667941,22.17
down,32,0.332506,0.332621,22.25
gate_up,64,0.674563,0.675022,43.87
down,64,0.334864,0.335119,44.19
gate_up,128,0.716067,0.716906,82.66
down,128,0.366963,0.367199,80.65
gate_up,256,1.313795,1.342529,90.11
down,256,0.530701,0.538282,111.53
gate_up,512,2.701123,2.785249,87.65
down,512,1.002947,1.003684,118.03
gate_up,1024,5.733623,5.787578,82.59
down,1024,1.957152,1.964363,120.97
