device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=64x256x64,gate_up_warp=32x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.013661,0.040336,33.85
down,1,0.331363,0.331719,0.70
gate_up,2,0.017306,0.019017,53.44
down,2,0.331136,0.331308,1.40
gate_up,4,0.016374,0.017105,112.96
down,4,0.331389,0.331557,2.79
gate_up,8,0.015792,0.016813,234.26
down,8,0.332029,0.332061,5.57
gate_up,16,0.016694,0.017977,443.19
down,16,0.331805,0.332068,11.15
gate_up,32,0.017386,0.018779,851.14
down,32,0.333450,0.333488,22.19
gate_up,64,0.019379,0.020571,1527.15
down,64,0.335568,0.335650,44.10
gate_up,128,0.020845,0.021298,2839.56
down,128,0.340893,0.341601,86.82
gate_up,256,0.023440,0.024623,5050.34
down,256,0.420109,0.421819,140.89
gate_up,512,0.022157,0.023905,10685.66
down,512,0.848669,0.857343,139.49
gate_up,1024,0.017466,0.018864,27111.59
down,1024,1.783555,1.846550,132.75
