device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=64x256x64,gate_up_warp=32x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x256x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x256x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.024112,0.028382,19.18
down,1,0.024368,0.026139,9.49
gate_up,2,0.025677,0.026625,36.02
down,2,0.023501,0.025593,19.68
gate_up,4,0.025136,0.025491,73.59
down,4,0.024960,0.025650,37.05
gate_up,8,0.027290,0.028510,135.56
down,8,0.027187,0.027327,68.04
gate_up,16,0.029386,0.034019,251.78
down,16,0.029814,0.030967,124.08
gate_up,32,0.030070,0.030555,492.10
down,32,0.027293,0.028291,271.09
gate_up,64,0.029181,0.070435,1014.19
down,64,0.027011,0.028177,547.83
gate_up,128,0.027094,0.028921,2184.58
down,128,0.029021,0.039699,1019.79
gate_up,256,0.028701,0.040140,4124.63
down,256,0.024611,0.028766,2405.00
gate_up,512,0.022352,0.025618,10592.34
down,512,0.022371,0.024039,5291.63
gate_up,1024,0.022064,0.023030,21461.21
down,1024,0.023456,0.028000,10093.80
