device=NVIDIA RTX A6000
iters=15,warmup=5,trials=5,max_rows=1024
gate_up_small_max_rows=0,gate_up_small_tb=64x128x64,gate_up_small_warp=32x64,gate_up_small_stages=3
gate_up_large_tb=128x128x64,gate_up_large_warp=64x64,gate_up_large_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.673478,0.674226,0.69
down,1,0.329894,0.330351,0.70
gate_up,2,0.673293,0.673734,1.37
down,2,0.330315,0.330648,1.40
gate_up,4,0.672085,0.672314,2.75
down,4,0.329963,0.379258,2.80
gate_up,8,0.672802,0.673274,5.50
down,8,0.330598,0.330842,5.59
gate_up,16,0.674554,0.675055,10.97
down,16,0.330692,0.331092,11.19
gate_up,32,0.678654,0.679309,21.80
down,32,0.331746,0.332094,22.30
gate_up,64,0.685107,0.686710,43.20
down,64,0.334304,0.334551,44.26
gate_up,128,0.699804,0.701265,84.58
down,128,0.342690,0.345245,86.36
gate_up,256,0.898319,0.982416,131.78
down,256,0.519110,0.524669,114.02
gate_up,512,1.880627,1.960866,125.89
down,512,0.968294,0.980106,122.26
gate_up,1024,3.918441,3.965075,120.84
down,1024,1.883424,1.901321,125.71
