device=NVIDIA RTX A6000
seed=0x20260618
iters=50,warmup_iters=10,trials=3,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.018314,4.999,0.001736,52.747,0.016091,5.690,0.001698,53.921,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.013832,26.476,0.001762,207.848,0.012306,29.759,0.001808,202.550,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.016291,89.916,0.002170,675.168,0.012106,120.999,0.002198,666.323,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.010150,577.256,0.003284,1784.306,0.010168,576.238,0.003317,1766.404,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.015426,1519.358,0.014325,1636.112,0.015380,1523.847,0.014530,1613.051,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.077124,1215.567,0.076108,1231.800,0.076460,1226.139,0.075372,1243.839,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.025990,1.321,0.001544,22.241,0.011041,3.109,0.001590,21.587,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.015289,8.982,0.001528,89.894,0.012330,11.138,0.001545,88.888,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.016639,33.014,0.001617,339.789,0.009418,58.329,0.001625,338.049,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.014751,148.960,0.002670,822.921,0.012817,171.430,0.002712,810.106,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.012423,707.481,0.006687,1314.406,0.013791,637.317,0.006709,1310.017,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.030728,1144.099,0.029960,1173.452,0.030808,1141.128,0.029993,1172.150,-1.000000,0.000,-1.000000,0.000,-1,-1
