device=NVIDIA RTX A6000
seed=0x20260618
iters=80,warmup_iters=15,trials=5,max_seq=4096,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.019347,4.732,0.001639,55.866,0.013696,6.685,0.001666,54.954,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.020248,18.087,0.001794,204.085,0.019016,19.258,0.001760,208.027,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.013780,106.302,0.002101,697.146,0.011198,130.808,0.002125,689.273,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.015914,368.199,0.003230,1813.823,0.012066,485.627,0.003266,1794.272,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.015083,1553.922,0.013910,1684.987,0.015959,1468.589,0.013679,1713.418,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.077181,1214.680,0.076249,1229.521,0.076581,1224.191,0.075693,1238.552,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4096,32,16,256,256,0.485502,772.396,0.484507,773.982,0.481314,779.117,0.480288,780.782,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.020237,1.696,0.001495,22.968,0.010569,3.248,0.001509,22.749,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.014896,9.219,0.001530,89.758,0.013862,9.907,0.001562,87.896,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.011964,45.913,0.001607,341.870,0.014907,36.849,0.001628,337.418,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.014407,152.512,0.002762,795.534,0.010191,215.604,0.002706,812.118,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.012046,729.625,0.006828,1287.134,0.014104,623.161,0.006892,1275.182,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.030713,1144.677,0.029824,1178.806,0.030694,1145.364,0.029738,1182.184,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4096,32,4,512,128,0.130264,1079.538,0.129228,1088.190,0.124295,1131.379,0.117584,1195.958,-1.000000,0.000,-1.000000,0.000,-1,-1
