device=NVIDIA RTX A6000
seed=0x20260618
iters=80,warmup_iters=15,trials=5,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.011225,8.156,0.001716,53.340,0.010596,8.640,0.001667,54.927,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.017365,21.089,0.001814,201.880,0.011897,30.781,0.001815,201.747,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.012144,120.619,0.002214,661.628,0.010674,137.240,0.002253,650.117,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.013701,427.667,0.003242,1807.334,0.016139,363.061,0.003247,1804.662,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.015308,1531.022,0.014077,1664.926,0.018462,1269.500,0.014122,1659.692,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.076860,1219.744,0.075894,1235.282,0.076176,1230.709,0.075200,1246.669,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.011884,2.889,0.001504,22.821,0.018914,1.815,0.001524,22.522,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.014240,9.644,0.001520,90.324,0.012708,10.807,0.001555,88.303,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.021518,25.528,0.001583,346.966,0.014593,37.643,0.001644,334.053,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.021921,100.235,0.002642,831.542,0.014514,151.389,0.002657,827.035,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.015086,582.597,0.006629,1325.890,0.029469,298.246,0.006685,1314.783,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.030682,1145.841,0.029854,1177.606,0.030864,1139.055,0.029848,1177.858,-1.000000,0.000,-1.000000,0.000,-1,-1
