device=NVIDIA RTX A6000
seed=0x20260618
iters=80,warmup_iters=15,trials=5,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.013876,6.598,0.001652,55.433,0.013910,6.582,0.001658,55.219,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.013838,26.463,0.001777,206.107,0.032871,11.141,0.001780,205.736,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.016563,88.442,0.002146,682.720,0.026547,55.180,0.002172,674.422,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.010802,542.414,0.003263,1795.592,0.018785,311.921,0.003284,1784.219,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.016010,1463.929,0.014836,1579.772,0.018120,1293.489,0.014764,1587.476,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.079120,1184.909,0.078184,1199.101,0.077465,1210.221,0.076560,1224.523,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.013182,2.604,0.001463,23.470,0.009215,3.726,0.001524,22.528,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.018280,7.513,0.001484,92.540,0.015532,8.842,0.001484,92.515,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.012030,45.661,0.001631,336.839,0.020191,27.206,0.001561,351.945,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.018134,121.168,0.002586,849.546,0.016915,129.902,0.002598,845.883,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.017772,494.534,0.006678,1316.122,0.010342,849.874,0.006756,1300.927,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.030598,1148.972,0.029770,1180.929,0.030633,1147.652,0.029844,1178.016,-1.000000,0.000,-1.000000,0.000,-1,-1
