device=NVIDIA RTX A6000
seed=0x20260618
iters=50,warmup_iters=10,trials=3,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.020303,4.509,0.001726,53.041,0.011979,7.643,0.001763,51.943,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.018436,19.863,0.001893,193.443,0.021413,17.102,0.001942,188.597,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.008374,174.919,0.002214,661.508,0.030666,47.768,0.002228,657.517,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.014628,400.546,0.003457,1694.793,0.019548,299.741,0.003557,1647.224,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.015885,1475.467,0.014501,1616.254,0.024372,961.663,0.014584,1607.105,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.077171,1214.842,0.075978,1233.906,0.076287,1228.916,0.075219,1246.368,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.020624,1.665,0.001529,22.455,0.011121,3.087,0.001525,22.511,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.014012,9.801,0.001556,88.231,0.011189,12.273,0.001527,89.932,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.012198,45.032,0.001766,311.093,0.011425,48.079,0.001763,311.545,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.012412,177.034,0.002761,795.834,0.029020,75.715,0.002843,772.901,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.021337,411.917,0.006921,1269.920,0.023448,374.827,0.007236,1214.657,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.031341,1121.741,0.030342,1158.651,0.031320,1122.497,0.030207,1163.831,-1.000000,0.000,-1.000000,0.000,-1,-1
