benchmark_env name=ffn_dual_gemm_bench cuda_device=0 gpu="NVIDIA RTX A6000" pci_bus_id=0000:06:00.0 compute_capability=sm_86 global_mem_bytes=50897289216 l2_cache_bytes=6291456 driver_cuda=13000 runtime_cuda=13000
benchmark_compile nvcc=13.0.48 arch_flags=compile_command weight_load_policy=-1
benchmark_nvidia_smi fields=name,bus_id,driver,persistence,ecc,mig,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,power_draw_w,gpu_util_pct values="NVIDIA RTX A6000, 00000000:06:00.0, 580.126.16, Enabled, Disabled, [N/A], 300.00, 1800, 7601, 28, 46.19, 0"
benchmark_contract name=ffn_dual_gemm_bench measurement=ffn_gate_up_dual_gemm_only timing=cuda_events_same_stream_repeated_launches cache=warm_repeated_buffers launch_overhead=excluded_from_gpu_elapsed_time aggregation=best_and_average correctness=candidate_vs_current_dualgemm clock_policy=unlocked_boost warmup=10 iters=20 samples=3 graph_inner_iters=0 no_sleep_between_trials=true ncu_clock_control=use_--clock-control_none notes="12B FFN gate/up DualGemm tile sweep"
config,rows,best_ms,avg_ms,max_abs,mean_abs,max_rel,status
current_128x64x32_s3,16,0.381506,0.381714,0,0,0,ok
current_128x64x32_s3,64,0.382811,0.383298,0,0,0,ok
current_128x64x32_s3,96,0.383659,0.384330,0,0,0,ok
current_128x64x32_s3,128,0.385213,0.386403,0,0,0,ok
current_128x64x32_s3,256,0.497814,0.521370,0,0,0,ok
current_128x64x32_s3,512,0.885414,0.991738,0,0,0,ok
current_128x64x32_s3,1024,1.897382,1.954461,0,0,0,ok
dual_128x64_s4,16,0.351024,0.352068,0,0,0,ok
dual_128x64_s4,64,0.354632,0.355565,0,0,0,ok
dual_128x64_s4,96,0.358696,0.358882,0,0,0,ok
dual_128x64_s4,128,0.361450,0.361720,0,0,0,ok
dual_128x64_s4,256,0.460234,0.486892,0,0,0,ok
dual_128x64_s4,512,0.882150,1.005149,0,0,0,ok
dual_128x64_s4,1024,1.947770,2.016544,0,0,0,ok
dual_128x64_s5,16,0.351475,0.352452,0,0,0,ok
dual_128x64_s5,64,0.353544,0.354568,0,0,0,ok
dual_128x64_s5,96,0.356470,0.357140,0,0,0,ok
dual_128x64_s5,128,0.359590,0.360086,0,0,0,ok
dual_128x64_s5,256,0.454282,0.489604,0,0,0,ok
dual_128x64_s5,512,0.893806,0.997382,0,0,0,ok
dual_128x64_s5,1024,1.946402,1.994766,0,0,0,ok
