benchmark_env name=ffn_dual_gemm_bench cuda_device=0 gpu="NVIDIA RTX A6000" pci_bus_id=0000:0F:00.0 compute_capability=sm_86 global_mem_bytes=50897289216 l2_cache_bytes=6291456 driver_cuda=13000 runtime_cuda=13000
benchmark_compile nvcc=13.0.48 arch_flags=compile_command pack_load_mode=direct
benchmark_nvidia_smi fields=name,bus_id,driver,persistence,ecc,mig,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,power_draw_w,gpu_util_pct values="NVIDIA RTX A6000, 00000000:0F:00.0, 580.126.16, Enabled, Disabled, [N/A], 300.00, 1800, 8001, 27, 36.75, 0"
benchmark_contract name=ffn_dual_gemm_bench measurement=ffn_gate_up_dual_gemm_only timing=cuda_events_same_stream_repeated_launches cache=warm_repeated_buffers launch_overhead=excluded_from_gpu_elapsed_time aggregation=best_and_average correctness=candidate_vs_current_dualgemm clock_policy=unlocked_boost warmup=20 iters=50 samples=5 graph_inner_iters=0 no_sleep_between_trials=true ncu_clock_control=use_--clock-control_none notes="12B FFN gate/up DualGemm tile sweep"
config,rows,best_ms,avg_ms,max_abs,mean_abs,max_rel,status
current_128x64x32_s3,16,0.379018,0.380770,0,0,0,ok
current_128x64x32_s3,64,0.374646,0.380301,0,0,0,ok
current_128x64x32_s3,96,0.375242,0.384451,0,0,0,ok
current_128x64x32_s3,128,0.378328,0.390966,0,0,0,ok
dual_128x64_s4,16,0.348822,0.349360,0,0,0,ok
dual_128x64_s4,64,0.353234,0.354629,0,0,0,ok
dual_128x64_s4,96,0.356151,0.358308,0,0,0,ok
dual_128x64_s4,128,0.359411,0.361800,0,0,0,ok
dual_128x64_s5,16,0.348024,0.348344,0,0,0,ok
dual_128x64_s5,64,0.352025,0.353725,0,0,0,ok
dual_128x64_s5,96,0.355635,0.357341,0,0,0,ok
dual_128x64_s5,128,0.358936,0.361529,0,0,0,ok
dual_128x64_s6,16,0.348888,0.349496,0,0,0,ok
dual_128x64_s6,64,0.352277,0.353740,0,0,0,ok
dual_128x64_s6,96,0.355931,0.358056,0,0,0,ok
dual_128x64_s6,128,0.358989,0.361809,0,0,0,ok
dual_128x64_s10,16,0,0,266,8.50849,1,wrong
dual_128x64_s10,64,0,0,294,8.53208,1,wrong
dual_128x64_s10,96,0,0,296,8.5143,1,wrong
dual_128x64_s10,128,0,0,296,8.51003,1,wrong
dual_128x64x64_s3,16,0.347718,0.348248,0,0,0,ok
dual_128x64x64_s3,64,0.353076,0.354777,0,0,0,ok
dual_128x64x64_s3,96,0.356154,0.358358,0,0,0,ok
dual_128x64x64_s3,128,0.359489,0.361903,0,0,0,ok
dual_64x64_w64x32_s3,16,0.345942,0.346214,0,0,0,ok
dual_64x64_w64x32_s3,64,0.351373,0.351588,0,0,0,ok
dual_64x64_w64x32_s3,96,0.361898,0.371787,0,0,0,ok
dual_64x64_w64x32_s3,128,0.364929,0.388029,0,0,0,ok
dual_128x32_s3,16,0.352675,0.353185,0,0,0,ok
dual_128x32_s3,64,0.358995,0.365396,0,0,0,ok
dual_128x32_s3,96,0.372756,0.390782,0,0,0,ok
dual_128x32_s3,128,0.396263,0.435927,0,0,0,ok
dual_256x64_s3,16,0.441799,0.456183,0,0,0,ok
dual_256x64_s3,64,0.426356,0.461561,0,0,0,ok
dual_256x64_s3,96,0.432347,0.476984,0,0,0,ok
dual_256x64_s3,128,0.424217,0.482993,0,0,0,ok
dual_64x64_s10,16,0,0,266,8.50849,1,wrong
dual_64x64_s10,64,0,0,294,8.53208,1,wrong
dual_64x64_s10,96,0,0,296,8.5143,1,wrong
dual_64x64_s10,128,0,0,296,8.51003,1,wrong
dual_64x128_s6,16,0,0,266,8.50849,1,wrong
dual_64x128_s6,64,0,0,294,8.53208,1,wrong
dual_64x128_s6,96,0,0,296,8.5143,1,wrong
dual_64x128_s6,128,0,0,296,8.51003,1,wrong
dual_128x128_s5,16,0,0,266,8.50849,1,wrong
dual_128x128_s5,64,0,0,294,8.53208,1,wrong
dual_128x128_s5,96,0,0,296,8.5143,1,wrong
dual_128x128_s5,128,0,0,296,8.51003,1,wrong
dual_128x256_s3,16,0,0,266,8.50849,1,wrong
dual_128x256_s3,64,0,0,294,8.53208,1,wrong
dual_128x256_s3,96,0,0,296,8.5143,1,wrong
dual_128x256_s3,128,0,0,296,8.51003,1,wrong
dual_256x128_s3,16,8.438488,8.441965,0,0,0,ok
dual_256x128_s3,64,8.498137,8.501776,0,0,0,ok
dual_256x128_s3,96,8.521557,8.527964,0,0,0,ok
dual_256x128_s3,128,8.547023,8.551534,0,0,0,ok
dual_128x128x64_s3,16,0,0,266,8.50849,1,wrong
dual_128x128x64_s3,64,0,0,294,8.53208,1,wrong
dual_128x128x64_s3,96,0,0,296,8.5143,1,wrong
dual_128x128x64_s3,128,0,0,296,8.51003,1,wrong
