step,first_kernel_idx,last_kernel_idx,total_ms,kernel_ms,gap_ms,max_gap_us
0,874,923,37.538004,37.484724,0.05328,14.848
1,924,973,37.594772,37.556019,0.038753,2.592
2,974,1023,37.595508,37.5565,0.039008,3.04
3,1024,1073,37.666069,37.626933,0.039136,2.944
4,1074,1123,37.705397,37.666485,0.038912,2.976
5,1124,1173,37.722644,37.683892,0.038752,2.496
6,1174,1223,37.762517,37.723221,0.039296,2.976
7,1224,1273,37.794645,37.755701,0.038944,2.464
8,1274,1323,37.80463,37.765718,0.038912,2.976
9,1324,1373,37.878165,37.838805,0.03936,3.04
10,1374,1423,37.918262,37.879286,0.038976,2.944
11,1424,1473,37.947862,37.908918,0.038944,2.464
